[NEW_DOCUMENT: DOCid=1, lang=bzd, DOCNAME=Los Bribris y Cabécares de Sulá].	[NEW_DOCUMENT: DOCid=1, lang=spa, DOCNAME=Los Bribris y Cabécares de Sulá].
Se’ ká bLáte dtsöwa, dtsöwa, e ta e s ìñír,pauke rak, íyì kuáblök míka ìwöna, e t äìkiñí pauke rak, íyì kuáblök míka ì wöna,e t ä ì kí̈ñi murerak ñíjke e.	La máxima jerarquía social y espiritual le corresponde a los médicos tradicionales o awapa, quienes poseen los conocimientos y sabiduría para continuar con el legado cultural dejado por Sibö.
Étä awápa, erör skene wö ìe, sbuáuk,míka skrì e ta.	Desde épocas ancestrales, sabios del conocimiento, mantienen la tradición y costumbres otorgadas.
Ë̈s S ì b ö̀ ì e' pa yö at, e sek en e uk i e ' , p a e w a i jche , írör se’k ö p ö l i .	Respetados por los clanes, dirigen las ceremonias y utilizan la medicina natural para curar las enfermedades.
3.	3.
Nìr p á u k O r g a n i z a c i o nSocialSe’ swö' rö ìche , Sìbö se’ne ká ì ' kì̈, ee rö se’ kuablene, ka kìe SuLayöm.	Nìr p á u k O r g a n i z a c i o nSocialSe’ swö' rö ìche ́ , Sìbö ̀ se’ne ká ̈ ì ' kì̈, ée ́ rö se’ kuablene, ka kìe SuLayöm.
Dtsöwö re' Sìbö wa e' rör kuökì̈, kuökì,erör ska móka ìe, e' mítse smì wa.	Dtsöwö re' Sìbö ̀ wa ̈ e' rör kuö ̈kì̈, kuökì,erör ska móka ̈ ìe, e' mítse ̈ smì wa.
Se’kuábLe tewa, te wa, e' erö se’ kË’nebLeduás wa.	Se’kuábLe tewa, te ́ wa, e' erö se’ kË’ne ̈́bLeduás wa.
Éta sdtse wo ka me ka Sibö rörwës: Díuwak: kìá che, bukuLá tsö ú yö wökekaLuLá a berìe' sururu e' wak.	Éta ̈ sdtse ́ wo ka me ́ka ̈ Sibö ̀ rörwé̈s: Díuwak: kìá ̈ che, bukuLá tsö ú yö wökekaLuLá a ̈ berìe' sururu e' wak.
Síbawak: kìá che, síwö bá e' wak.	Síbawak: kìá ̈ che ̀, síwö bá e' wak.
Bubölwak, kìá che, ìsene BúböL.	Bubölwak, kìá ̈ che, ìsene BúböL.
KöLkìwak: kiá che, tsá' wak se rke köLmìke' wak.	KöLkìwak: kiá ̈ che, tsá' wak se ́ rke köLmìke' wak.
Se' a tä we pa tsö nemì wáke, añirpáuk,ítä weLe weLe tsö se’r swö' shtök, áske ì chöwa.	Se' a ̈ tä we ́ pa tsö ́ nemì wáke, añirpáuk,ítä wéLe weLe tsö se ̈’r swö' shtök, á ̈ske ̀ ì chöwa.
Se’ ká bLáte dtsöwa, dtsöwa, e ta e s ìñír,pauke rak, íyì kuáblök míka ìwöna, e t äìkiñí pauke rak, íyì kuáblök míka ì wöna,e t ä ì kí̈ñi murerak ñíjke e.	Se’ ká ̈ bLáte dtsöwa, dtsöwa, é ta ̈ e ́s ìñír,pauke rak, íyì kuáblök míka ̈ ìwöna ̈, é t äìkiñí pauke rak, íyì kuáblök míka ̈ ì wöna ̈,é t ä ì kí̈ñi murerak ñíjke e.
Étä awápa, erör skene wö ìe, sbuáuk,míka skrì e ta.	Étä awápa, e ̈́rör skene ̈́ wö ìe, sbuáu ̈k,míka skrì e ́ta ̈.
Ë̈s S ì b ö̀ ì e' pa yö at, e sek en e uk i e ' , p a e w a i jche , írör se’k ö p ö l i .	Ë̈́s S ì b ö̀ ì e ̈́' pa yö a ̈t, é sek en é u ̈k i e ' , p a e ̀ w a ̈ i jche ́ , írör se’k ö p ö́ l i .
3.	3.
Nìr p á u k O r g a n i z a c i o nSocialSe’ swö' rö ìche , Sìbö se’ne ká ì ' kì̈, ee rö se’ kuablene, ka kìe SuLayöm.	Nìr p á u k O r g a n i z a c i o nSocialSe’ swö' rö ìche ́ , Sìbö ̀ se’ne ká ̈ ì ' kì̈, ée ́ rö se’ kuablene, ka kìe SuLayöm.
Dtsöwö re' Sìbö wa e' rör kuökì̈, kuökì,erör ska móka ìe, e' mítse smì wa.	Dtsöwö re' Sìbö ̀ wa ̈ e' rör kuö ̈kì̈, kuökì,erör ska móka ̈ ìe, e' mítse ̈ smì wa.
Se’kuábLe tewa, te wa, e' erö se’ kË’nebLeduás wa.	Se’kuábLe tewa, te ́ wa, e' erö se’ kË’ne ̈́bLeduás wa.
Éta sdtse wo ka me ka Sibö rörwës: Díuwak: kìá che, bukuLá tsö ú yö wökekaLuLá a berìe' sururu e' wak.	Éta ̈ sdtse ́ wo ka me ́ka ̈ Sibö ̀ rörwé̈s: Díuwak: kìá ̈ che, bukuLá tsö ú yö wökekaLuLá a ̈ berìe' sururu e' wak.
Síbawak: kìá che, síwö bá e' wak.	Síbawak: kìá ̈ che ̀, síwö bá e' wak.
Bubölwak, kìá che, ìsene BúböL.	Bubölwak, kìá ̈ che, ìsene BúböL.
KöLkìwak: kiá che, tsá' wak se rke köLmìke' wak.	KöLkìwak: kiá ̈ che, tsá' wak se ́ rke köLmìke' wak.
Se' a tä we pa tsö nemì wáke, añirpáuk,ítä weLe weLe tsö se’r swö' shtök, áske ì chöwa.	Se' a ̈ tä we ́ pa tsö ́ nemì wáke, añirpáuk,ítä wéLe weLe tsö se ̈’r swö' shtök, á ̈ske ̀ ì chöwa.
Se’ ká bLáte dtsöwa, dtsöwa, e ta e s ìñír,pauke rak, íyì kuáblök míka ìwöna, e t äìkiñí pauke rak, íyì kuáblök míka ì wöna,e t ä ì kí̈ñi murerak ñíjke e.	Se’ ká ̈ bLáte dtsöwa, dtsöwa, é ta ̈ e ́s ìñír,pauke rak, íyì kuáblök míka ̈ ìwöna ̈, é t äìkiñí pauke rak, íyì kuáblök míka ̈ ì wöna ̈,é t ä ì kí̈ñi murerak ñíjke e.
Étä awápa, erör skene wö ìe, sbuáuk,míka skrì e ta.	Étä awápa, e ̈́rör skene ̈́ wö ìe, sbuáu ̈k,míka skrì e ́ta ̈.
Ë̈s S ì b ö̀ ì e' pa yö at, e sek en e uk i e ' , p a e w a i jche , írör se’k ö p ö l i . ~~~ 4. ~~~ NúköL.	Ë̈́s S ì b ö̀ ì e ̈́' pa yö a ̈t, é sek en é u ̈k i e ' , p a e ̀ w a ̈ i jche ́ , írör se’k ö p ö́ l i .
4.	4.
NúköL. ~~~ EconomíaMíkä se’ tskíne e ta se’ chökö rör ìkuö ,tsruʼ, chumu, kLöm, aLiʼ tu, átu, íñe tacápi. ~~~ Kíjke ta nama kLíuk enä yebLök.	EconomíaDesde sus orígenes basan su dieta en productos agrícolas como el maíz, cacao, café, bananos, plátanos, yuca, tubérculos, frijoles, también en la caza, la pesca.
Ë k u e se rör eme, ke nuköLwa. ~~~ WeLe(yiLa kuableke tsír e tsínet wei se rke ëer ö . ~~~ WeLe íyi wak Lö werö.	Es decir, se trata de una economía de subsistencia, en la cual se siembra en las fechas establecidas.
Kíjke, ye blök,ma kLiuk e ste erör SuLe, ukö, chátar,e rör se’ kene wa ke .	
Énä chumu kLöm, e rör watue . ~~~ Ëʼ e ketLìri kí dö diʼ wíshet, suLetchök, e eröapeʼ röke i tsúk, watuene I we kibí pa a. ~~~ Ë̈wa snúköL kLöúke íta se’ ká Talamáncaä. ~~~ 4. ~~~ NúköL.	Algunas familias preparan pequeñas porciones de tierra, como una especie de huertos, generalmente cerca de su vivienda, con cultivos diversos para el consumo propio o la crianza de animales domésticos.
EconomíaMíkä se’ tskíne e ta se’ chökö rör ìkuö ,tsruʼ, chumu, kLöm, aLiʼ tu, átu, íñe tacápi. ~~~ Kíjke ta nama kLíuk enä yebLök.	Además, la cacería, pesca y artesanía se considera desde la Talamanca de antaño como importante para el desarrollo de la población.
Ë k u e se rör eme, ke nuköLwa. ~~~ WeLe(yiLa kuableke tsír e tsínet wei se rke ëer ö . ~~~ WeLe íyi wak Lö werö.	Asimismo, la construcción de arcos y flechas, cestas, guacales constituye parte de las actividades autóctonas.
Kíjke, ye blök,ma kLiuk e ste erör SuLe, ukö, chátar,e rör se’ kene wa ke . ~~~ Énä chumu kLöm, e rör watue .	La producción de banano y plátano es la fuente de ingresos de la población de Talamanca en todos los tiempos.
Ëʼ e ketLìri kí dö diʼ wíshet, suLetchök, e eröapeʼ röke i tsúk, watuene I we kibí pa a. ~~~ Ë̈wa snúköL kLöúke íta se’ ká Talamáncaä.	Exportan los productos de la ribera del río Telire, de aguas mansas, y llegan al otro lado de la ribera, propiamente al puerto de Suretka donde es recogido por intermediarios para transportarlos en grandes cantidades a venderlos en centros de acopio a nivel nacional, por lo cual se convierten dichos productos en la principal actividad económica en Talamanca.
4.	5.
NúköL. ~~~ EconomíaMíkä se’ tskíne e ta se’ chökö rör ìkuö ,tsruʼ, chumu, kLöm, aLiʼ tu, átu, íñe tacápi. ~~~ Kíjke ta nama kLíuk enä yebLök.	BiodiversidadEn la Cordillera de Talamanca ostenta la riqueza de la naturaleza de Sibö, la flora, frutos, los árboles para utilizar su madera y construir casas, cercas, balsas; la extracción de goma o resina para ciertos usos en la medicina para la piel y una gran cantidad de plantas medicinales para cura de enfermedades.
Ë k u e se rör eme, ke nuköLwa. ~~~ WeLe(yiLa kuableke tsír e tsínet wei se rke ëer ö . ~~~ WeLe íyi wak Lö werö. ~~~ Kíjke, ye blök,ma kLiuk e ste erör SuLe, ukö, chátar,e rör se’ kene wa ke . ~~~ Énä chumu kLöm, e rör watue .	La Pita: se utiliza para la confección de hamacas, cuerdas, bolsos y chácaras (bolsos con tirante); con ella se elaboran los techos tradicionales, sustituidos por los techos de zinc.
Ëʼ e ketLìri kí dö diʼ wíshet, suLetchök, e eröapeʼ röke i tsúk, watuene I we kibí pa a. ~~~ Ë̈wa snúköL kLöúke íta se’ ká Talamáncaä. ~~~ 4. ~~~ NúköL.	Se cosechan las hojas de madurez intermedia, cerca del eje de crecimiento y se eliminan sus espinas rasgándolas con el machete.
EconomíaMíkä se’ tskíne e ta se’ chökö rör ìkuö ,tsruʼ, chumu, kLöm, aLiʼ tu, átu, íñe tacápi. ~~~ Kíjke ta nama kLíuk enä yebLök.	Para extraer las fibras, las hojas se aplastan con un palo en una superficie dura y luego se raspa para retirar el tejido carnoso.
Ë k u e se rör eme, ke nuköLwa. ~~~ WeLe(yiLa kuableke tsír e tsínet wei se rke ëer ö .	Las fibras resultantes se retiran y se lavan con abundante agua.
WeLe íyi wak Lö werö.	
Kíjke, ye blök,ma kLiuk e ste erör SuLe, ukö, chátar,e rör se’ kene wa ke .	Después de secar al sol, las fibras están listas para ser utilizadas.
Énä chumu kLöm, e rör watue .	
Ëʼ e ketLìri kí dö diʼ wíshet, suLetchök, e eröapeʼ röke i tsúk, watuene I we kibí pa a.	
Ë̈wa snúköL kLöúke íta se’ ká Talamáncaä.	
Íyiwak na káLkö kuökikuöki4.	
NúköL. ~~~ EconomíaMíkä se’ tskíne e ta se’ chökö rör ìkuö ,tsruʼ, chumu, kLöm, aLiʼ tu, átu, íñe tacápi.	
Kíjke ta nama kLíuk enä yebLök.	
Ë k u e se rör eme, ke nuköLwa. ~~~ WeLe(yiLa kuableke tsír e tsínet wei se rke ëer ö .	Jícaro: Los frutos de jícaro se utilizan para fabricar recipientes y coladores.
WeLe íyi wak Lö werö.	
Kíjke, ye blök,ma kLiuk e ste erör SuLe, ukö, chátar,e rör se’ kene wa ke .	
Énä chumu kLöm, e rör watue .	
Ëʼ e ketLìri kí dö diʼ wíshet, suLetchök, e eröapeʼ röke i tsúk, watuene I we kibí pa a.	
Ë̈wa snúköL kLöúke íta se’ ká Talamáncaä. ~~~ 4.	
NúköL. ~~~ EconomíaMíkä se’ tskíne e ta se’ chökö rör ìkuö ,tsruʼ, chumu, kLöm, aLiʼ tu, átu, íñe tacápi.	
Kíjke ta nama kLíuk enä yebLök.	
Ë k u e se rör eme, ke nuköLwa. ~~~ WeLe(yiLa kuableke tsír e tsínet wei se rke ëer ö .	Suita: Las hojas se utilizan en la construcción de techos para viviendas.
WeLe íyi wak Lö werö. ~~~ Kíjke, ye blök,ma kLiuk e ste erör SuLe, ukö, chátar,e rör se’ kene wa ke .	Chonta: Tronco de árbol con la corteza muy dura que se emplea en las construcciones de paredes de ranchos y fabricación de artesanías.
Énä chumu kLöm, e rör watue . ~~~ Ëʼ e ketLìri kí dö diʼ wíshet, suLetchök, e eröapeʼ röke i tsúk, watuene I we kibí pa a.	Ojoche: La madera es usada para construcción y sus frutos son apetecidos por tepescuintles, guatusas y monos.
Ë̈wa snúköL kLöúke íta se’ ká Talamáncaä. ~~~ 5Íyiwak káLkö kuökikuökiBiodiversidadÚyön a Sibö wa kaLkö na íyiwakuLítene, eʼ tsöʼ, kal tsö u na köno yuö ie,kaL trö kalkö uLítene tsöʼ kö pöLi ie duebuáwö̈ ie. ~~~ Amú wä: köpö, tsaʼ, skuʼ, yueke. ~~~ Uköwa:U p á b k e k e , í t a s í k u a u k ö w a s e ’ , i m enëwë. ~~~ Ukö teke ta ì buá buá te ke, e taidlú meat.	Manú: La madera es muy resistente a la pudrición y por eso es utilizada para cercas, postes de corral y en épocas pasadas utilizada por los indígenas para hacer los ataúdes con dicha madera.
Amú wa sie köLor kö wa, ö wa i te ke, chikichikï tabe köwö wa, kö ki í pa sieke dö ichëLé̈ ä, kökí i skue ke buáe di wa e ta isíwëke díba a, míka ísina e tä i w ak en e wek che.	Bejuco Pata de Pava: se utiliza para amarrar puentes de hamaca, postes de cercas principalmente en la Alta Talamanca, entre otros.
M ë̀ w a : chá̈täk, kökö, tá e yönaUköwa: u pábkekeKúk: rör drere e wa se’ u yuwöke naSuLe.	
B ë̀ rör kaLtak ie yuè y wö ka te ke köno,shuLe, ö k, due rör.	
TsuLëʼ : rör kaL dLö ie, e yue , eʼ bák apö jkö yö ie.	
Ká ë kLö kicha : eʼ bák tsaʼ yu wöie, diʼtsáka uyöm kLimik.	
5Íyiwak káLkö kuökikuökiBiodiversidadÚyön a Sibö wa kaLkö na íyiwakuLítene, eʼ tsöʼ, kal tsö u na köno yuö ie,kaL trö kalkö uLítene tsöʼ kö pöLi ie duebuáwö̈ ie.	5Íyiwak káLkö kuökikuökiBiodiversidadÚyön a Sibö ̀ wa kaLkö na íyiwakuLítene, eʼ tsöʼ, kal tsö u na köno yuö ́ ie,kaL trö ́ kalkö uLítene tsöʼ kö pöLi ie duebuáwö ̈ ie.
Amú wä: köpö, tsaʼ, skuʼ, yueke.	Amú wä: köpö, tsaʼ, skuʼ, yue ̀ke.
Uköwa:U p á b k e k e , í t a s í k u a u k ö w a s e ’ , i m enëwë.	Uköwa:U p á b k e k e , í t a s í k u a u k ö w a s e ’ , i m enë́wë.
Ukö teke ta ì buá buá te ke, e taidlú meat.	Ukö te ̈́ke ta ̈ ì buá buá te ́ ke, e ́ta ̈idlú meat.
Amú wa sie köLor kö wa, ö wa i te ke, chikichikï tabe köwö wa, kö ki í pa sieke dö ichëLé̈ ä, kökí i skue ke buáe di wa e ta isíwëke díba a, míka ísina e tä i w ak en e wek che.	Amú wa sie ́köLor kö ́ wa, ö ́ wa i te ́ ̈ke, chiki ̈chikï tabe ́ köwö wa, kö ́ ki ̈ í pa sie ̈ke dö ichëLé̈ ä, kökí ̈ i skue ́ke buáe di wa e ́ta ̈ isíwëke díba a ̈, míka ̈ ísina ̈ é tä i w ak en é we ̈k che.
M ë̀ w a : chá̈täk, kökö, tá e yönaUköwa: u pábkekeKúk: rör drere e wa se’ u yuwöke naSuLe.	M ë̀ w a : chá̈täk, kökö, tá e ̀ yöna ̈Uköwa: u pábkekeKúk: rör drere e wa se’ u yuwöke naSuLe.
B ë̀ rör kaLtak ie yuè y wö ka te ke köno,shuLe, ö k, due rör.	B ë̀ rör kaLtak ie yuè y wö ̀ ka ̈ te ́ke köno,shuLe ̀, ö ́ k, due ́ rör.
TsuLëʼ : rör kaL dLö ie, e yue , eʼ bák apö jkö yö ie.	TsuLëʼ : rör kaL dLö ̀ ie, e yue ̀ , eʼ bák apö ́jkö ̀ yö ie.
Ká ë kLö kicha : eʼ bák tsaʼ yu wöie, diʼtsáka uyöm kLimik.	Ká ë ̀ kLö ́ kicha : eʼ bák tsaʼ yu wöie, diʼtsáka uyöm kLimik.
5Íyiwak káLkö kuökikuökiBiodiversidadÚyön a Sibö wa kaLkö na íyiwakuLítene, eʼ tsöʼ, kal tsö u na köno yuö ie,kaL trö kalkö uLítene tsöʼ kö pöLi ie duebuáwö ie. ~~~ Amú wä: köpö, tsaʼ, skuʼ, yueke.	
Uköwa:U p á b k e k e , í t a s í k u a u k ö w a s e ’ , i m enëwë.	
Ukö teke ta ì buá buá te ke, e taidlú meat.	
Amú wa sie köLor kö wa, ö wa i te ke, chikichikï tabe köwö wa, kö ki í pa sieke dö ichëLé̈ ä, kökí i skue ke buáe di wa e ta isíwëke díba a, míka ísina e tä i w ak en e wek che.	
M ë̀ w a : chá̈täk, kökö, tá e yönaUköwa: u pábkekeKúk: rör drere e wa se’ u yuwöke naSuLe.	Por otra parte, las plantas medicinales se encuentran en la montaña, a orillas de los ríos.
B ë̀ rör kaLtak ie yuè y wö ka te ke köno,shuLe, ö k, due rör.	Se utilizan para diagnosticar y curar enfermedades por los awá.
TsuLëʼ : rör kaL dLö ie, e yue , eʼ bák apö jkö yö ie.	
Ká ë kLö kicha : eʼ bák tsaʼ yu wöie, diʼtsáka uyöm kLimik. ~~~ Éta köpö Likua tsöʼ kábtä ä ëna diʼjkö mik, e' kenewe ke awápa rör, se’ buáw ö̈ ie Míka yì krina e ta ke we i tö jcheke,ìwöí keke kákö wa, ste wa, niéweta këkepa míjche i kLueitsök , S i b ö a i k i ö k . ~~~ É ʼkeneweke bere, ke e webleta. ~~~ Awápa iöiö̈ shkörö ke köL ki, ënä i siáwö ble keskúLa a. ~~~ Míka se’ krina erör áknamapa,e' wöuñeke awápa rör, e ta és i mía. ~~~ Kíjkeköpö Li kene weke e me ke ye we ne krinae' ä. ~~~ Ste rör dú kö, íyiwak kuö Lit ewa spateke. ~~~ Éta we ne tsöʼ byö blök e rör seʼ jtecheke ke ke pa a. ~~~ Éta köpö Li ie, se’ʼ pa atínaka eʼ amaderö nesno byö bLeke.	Cuando llega el enfermo, el awá hace un diagnóstico al caer la noche sobre el cuerpo del enfermo con un ritual y un canto llamado Sibuché o canto al dios Sibö, dichos rituales son secretos, nadie los conoce.
Éta ö̈dLer iadúnawö keneweke. ~~~ Érör tsákcha ie i wörör shtót shtót, i wö rkue rör ts krrrì. ~~~ ËʼyuLéke kábta dLö a, mík i wö ánawa ískïe t ä e se yeke s shudLena e' ki, e sieketsìr, ie keka d i ʼ t a c h á a se se eʼ yekebuLámi, mika kám s chökö e ta i yeke tsìr,ke táin, köpö Li dre re, ie rör. ~~~ Lbë kLi: Érör aLimkepe Chë: ikuóLi rö ñaLi ki ye. ~~~ PuLi : rör s ák ki ye, eʼ yeke íröírö.	Usa un bastón sagrado, el cual frota en el cuerpo del enfermo, usa las piedras mágicas, celosamente guardadad en un pequeño bolso, poniéndolas en la palma de la mano del enfermo para que las sople y se rieguen por todo el cuerpo; detecta donde está la enfermedad no solo en el cuerpo, sino también, el origen del mal causado por los malos espíritus, los cuales reposan en la noche y el awá expulsa.
KöLköyök : e r ö r L a l a j t e k e s n a t ö e ʼkenewö ie, i kö yök sí, eʼ ñawe, ke eʼshkLé wa LáLa pa ña w e k e , e ʼ k e n ewëke buLámi.	Prepara también la medicina, la bendice por medio de cantos de curación y se la da a tomar al paciente.
Éta LáLa chaj kué, e ta IÉta köpö Likua tsöʼ kábtä ä ëna diʼjkö mik, e' kenewe ke awápa rör, se’ buáw ö̈ ie Míka yì krina e ta ke we i tö jcheke,ìwöí keke kákö wa, ste wa, niéweta këkepa míjche i kLueitsök , S i b ö a i k i ö k . ~~~ É ʼkeneweke bere, ke e webleta. ~~~ Awápa iöiö̈ shkörö ke köL ki, ënä i siáwö ble keskúLa a. ~~~ Míka se’ krina erör áknamapa,e' wöuñeke awápa rör, e ta és i mía. ~~~ Kíjkeköpö Li kene weke e me ke ye we ne krinae' ä. ~~~ Ste rör dú kö, íyiwak kuö Lit ewa spateke. ~~~ Éta we ne tsöʼ byö blök e rör seʼ jtecheke ke ke pa a. ~~~ Éta köpö Li ie, se’ʼ pa atínaka eʼ amaderö nesno byö bLeke. ~~~ Éta ö̈dLer iadúnawö keneweke.	También pone en un trasto llamado Setecue, plumas de diferentes aves, pieles de algunos animales y al otro día hace un collar compuesto de los materiales del Setecua para que los malos espíritus, no vuelvan; lo hace extensivo a toda la familia.
Érör tsákcha ie i wörör shtót shtót, i wö rkue rör ts krrrì. ~~~ ËʼyuLéke kábta dLö a, mík i wö ánawa ískïe t ä e se yeke s shudLena e' ki, e sieketsìr, ie keka d i ʼ t a c h á a se se eʼ yekebuLámi, mika kám s chökö e ta i yeke tsìr,ke táin, köpö Li dre re, ie rör. ~~~ Lbë kLi: Érör aLimkepe Chë: ikuóLi rö ñaLi ki ye. ~~~ PuLi : rör s ák ki ye, eʼ yeke íröírö.	Siempre tiene a su lado una persona que lo asiste y observa todo el ritual para que al día siguiente mientras el awá está en una hamaca reposando, el asistente con la guía del awá le colabora con el paciente a través del proceso.
KöLköyök : e r ö r L a l a j t e k e s n a t ö e ʼkenewö ie, i kö yök sí, eʼ ñawe, ke eʼshkLé wa LáLa pa ña w e k e , e ʼ k e n ewëke buLámi.	
Éta LáLa chaj kué, e ta IÉta köpö Likua tsöʼ kábtä ä ëna diʼjkö mik, e' kenewe ke awápa rör, se’ buáw ö̈ ie Míka yì krina e ta ke we i tö jcheke,ìwöí keke kákö wa, ste wa, niéweta këkepa míjche i kLueitsök , S i b ö a i k i ö k . ~~~ É ʼkeneweke bere, ke e webleta.	Así entre las plantas medicinales de mayor uso se puede citar el madero negro: para problemas de la piel, para combatir parásitos intestinales, se ponen unas hojas y se hierve en un litro de agua, se enfría y se toma en las mañanas, varios días.
Awápa iöiö̈ shkörö ke köL ki, ënä i siáwö ble keskúLa a. ~~~ Míka se’ krina erör áknamapa,e' wöuñeke awápa rör, e ta és i mía.	Dormilona: para trastornos estomacales, se cocina en agua hasta que hierva, se deja enfriar, se toma en las mañanas y en la noche.
Kíjkeköpö Li kene weke e me ke ye we ne krinae' ä.	
Ste rör dú kö, íyiwak kuö Lit ewa spateke.	
Éta we ne tsöʼ byö blök e rör seʼ jtecheke ke ke pa a.	
Éta köpö Li ie, se’ʼ pa atínaka eʼ amaderö nesno byö bLeke.	
Éta ö̈dLer iadúnawö keneweke.	
Érör tsákcha ie i wörör shtót shtót, i wö rkue rör ts krrrì. ~~~ ËʼyuLéke kábta dLö a, mík i wö ánawa ískïe t ä e se yeke s shudLena e' ki, e sieketsìr, ie keka d i ʼ t a c h á a se se eʼ yekebuLámi, mika kám s chökö e ta i yeke tsìr,ke táin, köpö Li dre re, ie rör.	La caña agria: cura la tos y resfriados, incluso se utiliza como agua refrescante; se prepara, cocinando algunas ramas, con la pelusa de la mazorca del maíz, en agua, lo revuelven durante un rato y se deja enfriar.
Lbë kLi: Érör aLimkepe Chë: ikuóLi rö ñaLi ki ye. ~~~ PuLi : rör s ák ki ye, eʼ yeke íröírö.	Debe tomarse durante varios días para que haga el efecto esperado.
KöLköyök : e r ö r L a l a j t e k e s n a t ö e ʼkenewö ie, i kö yök sí, eʼ ñawe, ke eʼshkLé wa LáLa pa ña w e k e , e ʼ k e n ewëke buLámi.	
Éta LáLa chaj kué, e ta Ibuána. ~~~ Búa kaLeʼ tLar, táye pa weLeijkönero i u pámik, wes kichaʼkLö ʼ nakLikö swö' klikö kuátcheke uLawa.	Dunawö o cabalonga: bejuco trepador de hasta 20 m, frutos alargados redondos, tiene las flores en racimos de color amarillento.
Ésíyiwak añíes tsö', seʼ ká ä, k u ö̈kïkuö ̈kïiepa jte ta táin e, ie pa ke köL röráknamapa, wes naiʼ, humu, könöʼ,chebe, chíchi su itsö kiñiru e se’.	
Éʼ kek è w ö t a jte wa e me, míka yì mía ye blök tai wa kue irir e rör katè u a.	Se la encuentra en el bosque primario, riveras de los ríos y bosque secundario.
Étä íyiwak uru we s kró, kö chi eʼ tLáwe keañíes kete.	Las semillas se aprovechan de los frutos caídos en el suelo.
Éta síkuapa íyiwak jterö se rae, kíjke i se ’ k e m i u a máma ie, e rörköyö bLu blu, köyö tsí tsí, urrék, ñáoköL,du uLítene.	Se utiliza para el dolor de estómago; se rallan las semillas en agua fría, se toma en ayunas.
Énä saL, Klök, numu, suLí jchbe, kuè ena bua.	
És iö̈ iö̈ mík síkuapa de btu seʼ ki, ta se’ká̈ ä tái ta u tsö' íyök a, se’ uLá ä, e'yötsö íyi uLítene wíkoL ie.	
Wes itsörö kókibíki apeʼ uLa a, we iukie Museo deloro en Costa Rica.	No se puede tomar en mucha cantidad porque puede ser venenosa.
Iñe ñiwe ská̈wakuLítene e rö iche , ke ie pa kí síkuaparasë’ íyök biók seʼ ká ä eʼ kiáne. ~~~ Míki ewabLena e ta diʼ tsö' se’ ká shua eʼSuLúrwa mi, e ta ke schökö pa. buána.	Copalchí y tuete: Utilizada para el tratamiento de los dolores de cabeza y de cuerpo, se pone a cocinar varias hojas hasta obtener un jarabe para tomar.
Búa kaLeʼ tLar, táye pa weLeijkönero i u pámik, wes kichaʼkLö ʼ nakLikö swö' klikö kuátcheke uLawa.	Es amargo, se toma en la mañana según el consejo de los abuelos o médicos tradicionales.
Ésíyiwak añíes tsö', seʼ ká ä, k u ö̈kïkuö ̈kïiepa jte ta táin e, ie pa ke köL röráknamapa, wes naiʼ, humu, könöʼ,chebe, chíchi su itsö kiñiru e se’.	
Éʼ kek è w ö t a jte wa e me, míka yì mía ye blök tai wa kue irir e rör katè u a.	Las hojas de guarumo: utilizadas como medicina natural para darle a los niños si padecen de estreñimiento.
Étä íyiwak uru we s kró, kö chi eʼ tLáwe keañíes kete. ~~~ Éta síkuapa íyiwak jterö se rae, kíjke i se ’ k e m i u a máma ie, e rörköyö bLu blu, köyö tsí tsí, urrék, ñáoköL,du uLítene. ~~~ Énä saL, Klök, numu, suLí jchbe, kuè ena bua.	Tradicionalmente, lo preparaban asando las hojas en el fuego y una vez quemadas se pasaba al niño por el humo varias veces hasta que el niño orinara y se curara, hoy día también es muy utilizado.
És iö̈ iö̈ mík síkuapa de btu seʼ ki, ta se’ká̈ ä tái ta u tsö' íyök a, se’ uLá ä, e'yötsö íyi uLítene wíkoL ie.	Estas plantas medicinales se encuentran alrededor de las casas, generalmente sembradas por las mujeres.
Wes itsörö kókibíki apeʼ uLa a, we iukie Museo deloro en Costa Rica.	
Iñe ñiwe ská̈wakuLítene e rö iche , ke ie pa kí síkuaparasë’ íyök biók seʼ ká ä eʼ kiáne.	También siembran plantas que utilizan para condimento como el achiote, orégano entre otros.
Míki ewabLena e ta diʼ tsö' se’ ká shua eʼSuLúrwa mi, e ta ke schökö pa. buána.	De igual forma, la fauna silvestre resulta muy diversa.
Búa kaLeʼ tLar, táye pa weLeijkönero i u pámik, wes kichaʼkLö ʼ nakLikö swö' klikö kuátcheke uLawa. ~~~ Ésíyiwak añíes tsö', seʼ ká ä, k u ö̈kïkuö ̈kïiepa jte ta táin e, ie pa ke köL röráknamapa, wes naiʼ, humu, könöʼ,chebe, chíchi su itsö kiñiru e se’.	Los Animales silvestres han sido para los bribris fuente historias y leyendas, se han convertido en representaciones mitológicas de lo sobrenatural y la espiritualidad de sus actos, como la danta, tigre, tepezcuintle, serpientes, coyote entre otros.
Éʼ kek è w ö t a jte wa e me, míka yì mía ye blök tai wa kue irir e rör katè u a.	La carne que traían después de ir de caza, se dedica al consumo familiar necesario.
