[NEW_DOCUMENT: DOCid=4, lang=gym, DOCNAME=El Mundo Ngäbe: Entre Costa Rica y Panamá].	[NEW_DOCUMENT: DOCid=4, lang=spa, DOCNAME=El Mundo Ngäbe: Entre Costa Rica y Panamá].
Ni ne kägwe ninin ti ki monso kärere iti mae ja mugore. ~~~ Ni gwi negwe ñan tobiri, ni ne ürü ngwangwäre kwe.	De pronto llegó un hombre a la casa, de un Ngäbe que tenía muchas hijas, entonces este hombre pidió unas de las muchacha para novia, la cual le fue concedido, pasaron los días, le dice este muchacho a los cuñados: yo quiero que usted me vaya ayudar mañana, tengo una gran Junta”, y el cuñado le dice que está bien yo voy a ir, ¿pero adonde nos encontramos?
Biti mada jetobere se krwere ni duananga negwe ninin duantrei “ngadan junta jetebe tigwe mun jana ti die migue, duangä ninin ie naune medente tigwe ma ngubuadi?	Y le dijo donde hay un árbol grande, en la mañanita llegó y se sentó sobre un tronco a esperar y arriba del palo había un montón de pava, que se peleaban por las frutas se aburrió y se vino para la casa.
	Al día siguiente llegó el cuñado, hombre cuñado que pasó? que usted no fue a mi Junta, yo fui ahí y lo que había era un montón de pájaros y pavas peleándose, hay cuñado que barbaridad? usted me está ofendiendo verdad? y salió volando para afuera, no era una persona legitima y entonces de ahí, es que nace la tradición del canto y que ellos se reunieran y lo vieron bailando con las alas extendidas, entonces dice los abuelos que agarraban y giraban en circulo y de ahí viene el Baile de las Pavas”.
Ye kri kri jitegoin ye konti mägwe ti ngübüa ninin kwe.	Narrado por Wilfrido Montezuma 2013.
Ye degä ngwarbe duan gwi negwe ngitra dini biti nigui jibti, nü käe ne konti, toni kwekebe kri kri ne toni aune klwengro aibe toni ja ngetra gwetigue kri ngogwäbtä.	Tiene la función de conferir sentido al mundo, de revelar el origen sagrado de todo lo que existe, servir como base de lo espiritual, religioso y mítico.
Jotoani ie, kä ki raire to kitä ngwa Jetebere mada döana ne nutä gwi, batäbe ninin kwe ja ngadan ti yebra kä ama käräbä jnütä btä jae ñöbtä ni ñan janama?Duangwe ni a caramba ti janama yete aune klwengrö be nomo käbre kribti btä ti jatä batä. ~~~ Batä be ni negwe ninin ¡ja ngadan ni tä nague tieaa! kweu kweu kweu bare kuguen kwe, niganinga tibien mada Nomene tä ra migue toani nitregwe konti: ja totigani btä mada. ~~~ Ni: kä Javier Montezuma( 2013) kägwe kugwe ne tombare.	Las narraciones sagradas sobre dioses buenos y malos; que existieron en el universo; de héroes culturales, que fundaron con su magia y sabiduría el mundo de la historia; revelan las raíces remotas de su origen, de modo tal que sirvieron para mantener el equilibrio mediante la observancia de un conjunto de normas provenientes de los dioses y necesarias para la sobrevivencia del mundo Ngäbe.
Nebiti nnüanbare ñö, kugwe naganingä ñö, abugon migatä gare jae. ~~~ Ye kugwe Ngöböbtä, btä kugwe ketäkäbre toatä.	Las narraciones fueron la preservación de la identidad cultural mediante la tradición oral.
Kugwe utuäte kri migatä gare jae ne ngöbo ketä käbre biti, ye ngöbo kuin tä ra aune nitre Ngöböre tä ra kome erato.	De esta forma se mantiene viva la huella sagrada del pasado, pero ante todo, conservando un estricto equilibrio en su estilo de vida.
Ne meden biti kä kri ne ketateta ja ña te.	Narración La lucha entre Mironó y Dego .
Abugnü biti nitre ngäbere tä diguega kira ni bega tobtä jene abugon kägwe kugwe kira ye sribeni.	En los tiempos remotos hubo una serpiente que se comía la gente en todas partes.
Abugon konti ni ngäbere ie kugwe kira ye tointä ri aune tä migue gare nitrei.	De repente soplaba el viento muy fuerte, que formaba remolinos y se llevaba todas las cosas que se ponían de frente, así pasaba en todos los lugares.
Kira ngwane magata ye namáni ní kwete, ye kä ñó, ñó kondi jokrä, ye bátibe amene muríe mata nämbare nüguen díte ye nämbare niguen jödrän ben mobe koenda, ye kä madá bití muríe därigwita jödrän ye jän riga jökrä kwé, ye erére aune ni ne jatánin negä, ye muríe nämbare niguen dänigwite bolore tibien ye nämbare niguen jödrän ben mobe koenda ye bätä namánin niguen ben mrende, jödrän ye nämbare niguen nekäbe, ye jödräen nämbare niguen ñó ñakare nämbare neménda gareta, ye kugwe naganingä krí kä ye ngwane.	Entonces dos Guías espirituales o médicos tradicionales, se reunieron y convocaron una reunión, ellos llegaron a una conclusión que el viento que venía era de la serpiente del mar, que estaba tragando objetos, era como una marca el fin del mundo.
Yedre bätä nitre Däguintre krigri kwé köbö kitani magata ye rüere… Ye erére ngäbe nämbare niguen mren krä bäre, kweta nämbare kwé. ~~~ ¡Ye jägä namáni ja muriéi be bití kwé!	En ese tiempo la gente que viajaba en las balsas se perdían, es decir ellos iban a navegar y de repente se formaba un remolino y se lo lleva mar adentro.
Ye ní nämbare näin rute mren kä bitíta jägä nämbare kwé, ye nämbare jödrän jägue ja muriéi be bití!, ye ru nämbare niguen mren kräbäre ngwane mren däri gwita te ru nämbare niguen negä ye ñakare nämbare nüguenda.	En ese tiempo hubo dos Guías espirituales quienes tenían grandes poderes y compitieron entre ellos para mostrarle la realidad de poderes.
Kä ye ngwane suguia tö bätä därebare dre medén kägwe ja gabare.	La serpiente del mar se estaba comiendo a mucha gente y el poder de Sukia, no era suficiente para vencerla.
Magata namáni ní kwete aune suguia dí ñakare namáni nemén ben jä bätä, dre bätä suguia gwe monso juani nibägä krona tiguegä.	Entonces reunieron y decidieron enviar a cuatro jóvenes para que fueran a matar la serpiente en el mar.
Ye erére gätä sribebare, blitabare, ye ní mubai aibe känämbare, ye monsoe ñakare, ne madá ñakare ja migue gure erére känämbare nibägä niebare Miränängwe.	Los Guías espirituales se llamaban Mironó Krono, y Dego, convocó una reunión para escoger a los cuatro jóvenes, como requisito ser solteros y que fueran primogénitos.
Ye erére Suguia kägwe gätä köböi kitabare, ye erére ní känämbare nibägä, dre juani magata kämigue. . .	A la primera reunión solamente llegó un joven, a la segunda llegaron dos, a la tercera llegaron tres y a la cuarta llegaron cuatro.
Erére köböi kitani, ye kena ní nügani íti, köböbu ní nügani níbu, köbömä ní nügani nimä, köböbägä aune ní nügani nibägä, ye kändi ní kwani täte nibägä, dre juandi magata krona tiguegä niebare. . .	De esas personas que llegaron, los Guías espirituales escogieron.
Monso nibägä íe Miränängwe ñiebare íe.	Mirono Krono advirtió varias veces a los cuatro jóvenes antes de ir.
Mun rabára magata teri ngwane mungwe dre noaindi dre ti bigue niere mun íe, niebare Miränängwe.	Los jóvenes salieron, tomaron la balsa para llegar hasta donde estaba la serpiente.
Mnü rabá magata teri ngwane mnügwe ngwean kidete, ngwean käte, ngwean dögwäte, ye dian.	Navegaron bastante rato, y después empezaron a dar vueltas hasta que la serpiente se lo trago.
Ye ngwane Usúlin ngö rabá roen muen ngwane mnügwe tigaga ye ngö ñakare aune mnü raba kwekebe ye aráto muña krona tigaga gwägäre, mnügwe tigaga küguen gwäre: Ye ngwane monsotre nigánin ü aibe ben jaitre.	Una vez dentro de la serpiente, los cuatro jóvenes vieron que había siete cerros, cordilleras y seis ríos con mucha agua.
Miränä gwe niebare monsotre íe.	Ellos tenían muy presente los consejos de Mironó.
Mnü ñan magata krona tigaga gwägäre ye mnügwe tigaga küguen gwäre ye kwé mnü rügadita, ne ñan erére mnü ñakare nürata.	Cuando oyeron el ruido del trueno de inmediato empezaron a cortar las costillas de la serpiente.
Monsotre nibägätre ye niganintre rute nagaingä mren bití, ye niganina mende ámenen mren nigánin dänigwite täni, ye kändi nigánin koindubu mren dänigwite ye té, ye niganintre magata teri.	Cuando se iba el sonido del trueno, se quedaban quietos.
Ye namánintre magata teri ye kändi nigrabare kwetre aune ñö krä kügü, ngutuä krä kügü, ye jatoabare íetre; Miränä gwe niebare erére Usúlin ngö namánine aune monsotre nibägätre gwe nigánin magata krona tiguegä, ye ngö riga negä aune nämbaretre nemén kwékebe.	Cuando los 4 jóvenes está adentro de serpiente, mientras Mironó y Dego estaba tomando cacao, haciendo rituales, para poder vencerla, ellos enviaban el trueno Así empezaron a trabajar y al rato, ellos vieron agua de color rojo, otra de color amarillo, otra verde y otro color azul que salían de la herida que habían hecho a la serpiente.
Ye erére Usúlin ngö jatäni roenda ietre aune nigánin magata krona tiguegä ta. para ayudar los jóvenes que estaba dentro.	Después de dos días, la serpiente dijo que le estaba doliendo el estómago de la cantidad de lombrices que tenía.
Ye ngwane ñö täin, ñö kare, ñö ngwen, ñö sübrüre namáni täin nen magata terita íetre, ye magata namáni ja krägäe migue, ye namánin nemén ngwárebe terita, gwara namáni kwete niebare kwé.	A los cuatro días terminaron de cortarle las costillas a la serpiente. ~~~ Los cuatro jóvenes salieron encima de Magata y vieron sobre el mar una gran cantidad de balsas flotando.
Kä jatánin mägäiti ámenen nämbare magata krona tiguegä, ye te krona mugwä ngitiáningä ietre; ye erére i krä erére aibe namánin nagaingä mren kä biti, ye gäni nibägätre kägwe ngwean deambare biti jatáninda jate.	Estas balsas se veían como tusas de maíz tiradas sobre el agua. ~~~ Los cuatro jóvenes emprendieron el camino de regreso.
Ye magata gwe niebare, kä mägäiti ámenen ti kwainda medere, ye bití niganin mendögwäre, ye kä ken ngwane jödrän ye rügadita ni kwete, ye bä tibi krigri nämbare meguera ye jökrä nigwe toadita mräta.	El primero, llegó a la orilla del mar y murió; el segundo, llegó hasta medio camino y murió; el tercero, llego cerca de lacas y también murió; el ultimo llegó a la casa contó todo lo que vio dentro de la serpiente y todas las cosas que pasaron cuando estaban adentro; después de contarlo todo murió.
Ití nüganinda ngatáin mren krä bití, níbu käri ábögän gatábare jí ngrabare, nimä käri ye gatábare jú ken; nibägä käri ye nüganina gwi kägwe blitabare jükrä dredre toabare kwetre magata teri, ye ñiebare kwé jükrä biti krütabare.	La serpiente dijo: “en cuatro siglos volveré a comer mis alimentos”, y se fue adentro del mar. ~~~ Según historiadores decían que cuando va a venir el fin del mundo regresaran todos animales grandes que existieron y todos los vamos a ver de nuevo.
Ni nimä käri jatánin ngwean ngwena yedre ngatánin ji ngrabare, yedre kändi Dego jatábare monso ye bití, ye monso nämbare ngwean ngwena ye Dego nigánin ben jae, biti ngitiáni ben kä nague. ~~~ Miränä krägue, dre DegoMonso nämbare ngwean ngwena ye Miränä krägue, dre Dego kägwe goibare.	El tercer joven que murió a medio camino traía el oro y la plata, pero como el no llego hasta la casa, no pudo entregarle a Mironó todas las riquezas, en cambio llegaron Dego a recoger toda la riqueza que traían los jóvenes, lo agarraron y huyeron a la Ciudad de los espíritus.
Ye namáni gare Miränäin íe, niebare kwé, Ti näin kändi basare, ye erére köbö kitani kwé jatánin nó, aune jatánin yägue, ye kugwe namáni gare Dego íe, Dego gwe niebare, tö näin ye jata niebare kwé.	Cuando Mironó se dio cuenta que Dego le había robado la riqueza que los jóvenes traían, mando a decirle a Dego que quería ir a pasear donde él vivía.
Miränä jatánin yägue Dego käite ngwane niebare kwé ngobó níbu íe. _Mnü riga tiben basare Dego íe.	Dego se enteró de la razón que Mironó había enviado y le mando a decir que fuera.
Ye erére jatánintre yägue ngwane niebare kwé ngobó íe, tigwe tägäi tibien aune mungwe tägä tibien, ye ti ñó ñedi muen erére ámenen mungwe kugwe sribe.	Un día Mironó les dijo a sus dos hijos:“Cuando nos ofrezcan asiento y yo me siento, entonces ustedes se puede sentar, pero si yo no me siento, ustedes tampoco lo haga”.
Ye biti niganintre.	No hay comida para darles a ustedes.
Miränä yegwe ru sribebare jae te nigánin monso níbu ben, ye jödrän jä nigánin täte kwé kwetáre jae ji ngrabare, noabare krí kwé ámenen nigánin nemén kä nague, Dego kändi.	De repente, cayó un racimo de plátano cerca de donde estaba Dego. ~~~ Ahora ya hay plátanos, pero no hay carne para acompañar, dijo Dego.
Ye namánintre kä nague ámenen krignü driebare íetre tägäre, ye Miränä kägwe krignü ne migabare ñräre ámenen dängwä ngwenbrere nämbare metaninde krignü bití, ye deaningä kwé aune tubuä tugwä grine miganin tägäre, ye Miränängwe burie tägäbare bätä, tubuä tugwä ye nägäninkäbe jükrä tibien, biti namáni tägäni.	
Ye namánina tägäni tibien ámenen Dego kägwe niebare:__Basiaga nü aune mrö ñan raba bugare, niebare kwé; ye dera ámenen bla krigribe nämbare jú dögwäte koen ngö nü tibien. ___Ye biti ñebare Dego gwe, mutuä ñan rabá ye.	Cuando Dego se descuidó, cayó un pedazo de carne en el suelo cerca de él.
Ye gäni nibí ngríe täni kuin ngö nüganin tibíen, ye migabare ngisé, aró ñan rabá kwetáre ngribe, ñebare kwé, ye aró ngö nügani tibíen, ye aró ye riabare ngribe kwetábare kwetre, Miränä íe. . .	
Biti Dego kägwe niebare:__Tomaná ñan rabá jire ñare ye:Ye madá kwä ngätä nögäninkä tibíen Dego ken, Dego gwe ñebare; Nogó sribere. ___Ye tö nibí jañamaná ye migue ngisé, erére kä ngätä migabare ngisé biti ñabare kwetregwe, Miränä Kränä kägwe ñabare b ä b ä g ä y e a r á t o D e g o k w é ñ a b a r e .	
Dego ngängä nämane döananbe jubäreta, te niebare Miränängwe:__Ti nüra kidete nébe känti mnügwe nän kübüa jábätä, ñebare kwé, mnügwe kübüa kaibe jené, jené.	Entonces de nuevo dijo:“Ahora hay carne pero no hay arroz”De repente cayó un chácara llena de arroz desde la cumbrera de la casa.
Entonces se fue a buscar a Mironó y le dijoYe ñakare miganin gare jae Dego gwe, ye ngängä namáni kübüani brareibe jubäre.	Entonces mandó a cocinar el plátano, el arroz y la carne y después comieron juntosEsa noche, Mironó y Dego tomaron cacao y hablaron, cuando estaba amaneciendo, Mironó le dijo a Dego.
Miränä bätä Dego ábögän ogwä namánin jabätä gwi, ye kä jatánina ngwen nó ámenen ngwean jänigani Degogwe ye käräbare Miränängwe ta.	Yo vine para que me entregue la plata que usted trajo, Dego no le hizo caso.
Ye Dego ñan namáni kugwe kaingäbití ámenen kä jatánin ngwen, ye känímentre namáni kwä ñain rare.	Cuando ya amaneció Dego vino y le dijo a Mironó.
Ye bití ñebare Degogwe: Kugwe nibí krí ti kidete, Miränängwe ngweanindä ñan dré?	Mi hija y mi yerno se han quedado pegados.
Monso tigwe neguegä döananbe ja bätä.	No sé qué hacer con ellos.
Niebare Degogwe;Monso neguegä jábtä, ñan nibí noaine ti krägue niebare Degogwe.	Mironó le preguntó a Dego.
Ye ngwane miränängwe ngweandäri Dego íe:__¿Kwä bure täräa? tärä ñebare Degogwe íe:__Sribere niebare kwé íe, ye mägwe bian bäbägä ñadre íe, ñebare kwé.	
Dego kwé kwä ye riabare biti biani kwé döno íe ye aráto ngängä íe, Degogwe ñebare íe, ye erére biani íe nge deaningä jabätä.	
Dego ngängä nguedéngä jábtä, ye biti kwé nigrani jüben, ye namáni tägäni jä biti.	¿Tiene cacao primogénito?Dego le contestó que sí.
Töbigabare kwé: __Nirégwe nnü kitigä traía a otra mujer.	Pues póngalo a cocinar y deles de tomar cuatro veces a cada uno.
Así cuando llegaron a la tierra los hijos le dijeron a su madre. jábtä?. . . ye ngütübare kwé, ye ngwane neguetaningä madá ja bätä.	Dego cocinó el cacao y le dio a su yerno a su hija como le recomendó Mironó.
Ye namáni gare dego íe, Dego gwe kwä bure sribeni biti tügabare ye biani íe, ñagare ngedeaninkä.	Después de tomar el cacao primogénito ambos se despegaron.
Ye nigánin Miränä kändi, ñebare kwé íe:___Meri neguegä jäbätä ñan nibí nuaindre tigräre:___ Miränängwe ñebare.	La hija de Dego se levantó y se fue para el río a bañarse, se desnudó y se sentó encima de una piedra y pensó: “¿Quién nos dejaría pegados a mi marido y a mí?”“Tengo un asunto muy complicado, no sé qué hacer”.
¿Kwä jaba täräa?	¿Que pasa?
Ye tärä ñebare Dego gwe.	Le pregunto Mironó.
Ye migue ngisé biti bien bäbägä ñare íe.	Mi hija está en el río y se quedó pegado sobre una piedra.
Niebare Miränängwe.	¿Usted tiene cacao de piedra?
Ye erére biambare íe ngidianingä drékebe jäbätä, ye biti Dego ngängä nigánin gwä namáni ngitiáningä Miränä ngotó känti.	
Ye biti Dego namáni ngitiáningä krüä bití ñogwä bätä, dera madá nügani krö aune krüä neguetaningä klére bätä.	Le pregunto Mironó a DegoSí, si tengo cacao de piedra – contestó Dego.
Ye bití Miränängwe niebare íe. ~~~ ¿Ngwean ngwen tieta?	Cocínelo y dele de tomar cuatro veces dijo Mironó.
Ti kwani ngwean tigwe erére jie bitíta, ti kíta tärita mä ieta. . .	Así fue, Dego lo cocinó y se lo dio a su hija.
Ye erére kidete bienda ti ieta dötrö.	Cuando tomó el cacao se despegó de la piedra.
Ye Dego ábögän klére bätä krüä neguetaningä ye namáni kwitebe gwita ñan namáni noaindre krägue. ~~~ Ye ja driebare kwé Miränä íe, ye Miränängwe kwä bure démen ye miganin ngisé bití biani íe ñare, ye krüä ngedeaningä drékebe klére bätä. . .	La hija de Dego se bañó, se fue para la casa y se sentó junto a MironóDespués cocinaron el cacao primogénito y le dieron de tomar a Dego, Así se le despegó el asiento de las nalgas.
Ye kändi dre bati Dego nigánin ngwean den Miränä íe.	Dego se fue corriendo, trajo la riqueza y se la dio a Mironó.
Ye biti Miränä jatáninda aune Dego ngängä jatánin ben.	Mironó se fue para su casa con la hija de Dego.
Miränä ngobó níbu ye jatáninda känenda niere Mesi Kwira íeYe rün jatánin meye rabá ben. __Mama mä ñan rabá robon tata krägue, kwé ki bí ben, ye känti dre meye nibí robon brare krägue.	Los dos hijos que estaban con Mironó salieron primero de kä Nague rumbo a la tierra para avisarle a Mesi Kwira que era el nombre de su madre que su padre Cuando la madre supo que Mironó venía con otra mujer, alistó su carga en una chácara y se fue.
Ye erére namáni gare Mesi íe, Mesi gwe ja tribe miganin kra krí té biti niguí ji biti, Ye Mesi gwe ore nämbare kwati ye miganin krí bití kwé bití nigánin krö.	Narrado por Javier Quirós M. 2013Narración de Uli Krön :Hace miles de años, hubo dos niños abandonados de 6 y 7 años que la mamá se había muerto y esos niños se quedaron solo con el papá.
Ye niganina krö ngwane riba mrä jänügani gwí, ye erére Mesi niganina mobe ngwane kä nogwraninde tibíen ye té tubú neaninkäbe.	Al tiempo el papá buscaba otra mamá y la encontró pero no quiso a los niños; era un niño y una niña.
Ye döbó gwe ñagabare. ~~~ Ore ábögän matá nüganin kä ogwä bití ye namáni niere, Mesi nibí ngwite, Mesi nibí ngwiteDre nie nibí ore negwe, nän dögwä ötöte bití kite nguse Mesi jie bití.	La mujer le dijo al papá que los fuera abandonar lejos porque ella no quería verlos El papá le hizo caso y los llevó a la montaña a ver animales.
Erére noainbare ore bätä bití kitánin Mesi jie bití.	Los niños llevaban granos de maíz en la mano e iban regando por todo el camino.
Ye né erére kugwe naganingä kira ngwane ní krigri töbätä näire, ye ngwane ja gabare krí, kugwe ñan ní dí rabá näre bätä, ye nie töbätä gwe kugwe krí ben ja toabare.	Una vez en la montaña el papá les dijo que lo esperaran donde llegaron y no regresó más, gritaban y gritaban, pero pasó el tiempo y regresaron a la casa por el camino donde habían tirado el maíz y la mujer se puso furiosa y volvió a decirle al papá que tenía que volver a llevarlos a la montaña para perderlos.
Kugwe Uli krönMeguera kugwe naganingo monsotre kia nibu btä krörö.	Así lo hizo el papá pero esta vez los niños llevaban ceniza que iban regando en el camino.
Ni nibi gure, monso nibi nibu. ~~~ Kwe merire btä brare.	El papá les dijo que se quedaran en ese lugar, que ya volvía y así lo hicieron porque tenían que obedecerle al papá.
	Como no regresó volvieron por el camino que había ceniza y empezó a llover borrando la ceniza del camino por lo que se perdieron y se fueron por otros lados, durmieron en las montañas y pasaron los días y no encontraron al papá, comían semillas y frutas.
Meye kure aune nebe rün aibe ben, rüngwe meri mada kononi meri ne toi kome nini kwe brarei, magwe ngäbägre se kitäǝiga aune ti rabai mabe ninin kwe.	Se subían a los árboles para ver algún camino hasta que encontraron uno que los llevó a un rancho grande que no era la casa de ellos y allí la que vivía era una bruja ciega, por lo que se acercaban y comían lo que cocinaba la bruja como chicharrones.
Brare negwe kugwe miri tä te, ninin kwe kiae anuin jodron tuin käsentä.	Con el tiempo la bruja los agarró y los encerró, los cuidaba por lo que se hicieron grandes y le ayudaban cuando los soltaba a picar leña, traer el agua porque iba a matar un “chancho”.
Kiatre ne nigui iagwa ngwena kisete, nigui metega jingrabare nibitre kä togwäte aune rüngwe ninin ietre, ti nguǝbuare nete gwa ti rugaitä, ya kä kira raire aune ñakä chi.	Cuando la joven fue a buscar agua le apareció una paloma que les advirtió del peligro y cómo tenían que hacer para salvarse que hicieran lo contrario de lo que les decía, si cuando la bruja les decía bailen que lo hiciera ella primero y así la matan.
	Casona. ~~~ 2013Efectivamente la mataron y los dos jóvenes siguieron solos a varios lugares e hicieron sus vidas la hermana con un gigante y él solo siguió su camino hasta la orilla del mar para llegar al cielo y convertir en una estrella grande y cuando sea el fin del mundo iba a regresar otra vez a defender a la gente en la tierra.
Te kiatre nigui ngonenga ngonenga ie ñakä nutä.	La enseñanza respetar la montaña porque ahí están los espíritus malos y buenos.
Tebrä niguitä tre ja jiebti iagwa ne jiebti nibitä gwi mada, aune bichogrä ne nibi robon nibi kä kite burere.	Narrado por Javier Quirós M. 2013Mitos y creencias del pueblo Ngäbe.
Ninintä kwe nontä kitegatä mada bati, tebra rün niguitä ngwenantä kätogwate, ne konti ngübrün jonigui kwetre, niguitre ngübrün ne metega jingrabare.	La mujer embarazada no puede sentarse en el lugar de los varones porque se les pega la pereza.
Mada bati rüngwe nini ietre, chi ti ngübuare nete gwä ti rugaitä ninin kwe, bogone nibitä rün ngübuarebti, ñakä chi aune kä kitä raire te mada ñü nogon mada tibien, ngubrün kiri jingrabare kwetre ye nega jökrä nubtä.	Donde cae un trueno en un palo cerca del camino, hay que esperar que pasen cuatro días para luego pasar otra vezEl árbol que le cae el rayo no se puede usar para leña, porque los adultos o los niños pueden sufrir de quemaduras en el cuerpo.
	La palma de cogollo de hacer sombreros, los niños no pueden tocarlos porque puede padecer de hemorroides.
Niguitä ja jiebti aune nete mada, niguitre kä ngwarbe bti kä ki drüne mada bititre, aune jadure kwetre kä togwäte, ji ñakä kunintä ietre, kri ngowä kiaga aibe nibi kwete käsentä.	Los niños no pueden tocar ningún tipo de animales del monte, ya que le causa efecto como de enflaquecimiento, tomar agua cada momento y pierde el apetito.
Te brare chi ne nigui kribtä koin aune ju jotoani ie.	Se debe tener cuidado cuando se consume cualquier animal del monte, por prevención hay que guardar las plumas o los huesos para medicina.
Ne konti bicho ogwä kwärä käbe toni nnüe bicho ne kome, toni ngri jien abugon nibi nuguetre goire kon mada.	A los niños pequeños recién nacidos se les amarra un trapo rojo en la manita para que de esta forma nadie le puede causar mal de ojo.
Tebrä mada naga nibue jökrä mada bichogrä nei. ~~~ Kitiga bichogrä negwe, biti nigui bugue bugue tebra ki krigri ie.	A los niños pequeños que se les inflama el ombligo, se toma una lagartija pequeñita que hay en el monte, se le pega en el ombligo para que lo muerda varias veces y se alivia.
Dini kämrebti kwe aune ninin bichogwe ie.	Es prohibido tocar el nido del ruiseñor porque le pega orzuelo en los ojos a quien lo molesta.
Magwe ngidian ninin kwe brarei, ma abugon riga ñö den ninin kwe merirei, ne ñan ñöbtä aune metäre nigwe mütü kwatai.	Solamente los primogénitos, los huérfanos de padre y madre, los gemelos, las mujeres embarazadas pueden preparar malignos.
Monso merire janani ñö den aune ütü toni kri kidebti kägwe ñari ie.	Cuando hay mucha rayería y truenos inmediatamente se quema un pedazo de cuerno de ganado para que el humo lo ahuyente.
	Cuando van a la montaña es importante echarse humo de tabaco en los pies para ahuyentar las culebrasCuando una persona está enferma de la mordedura de una serpiente una mujer embarazada no puede verlo ni llegar de cerca.
Mütü kämigai kwe, ye ngwarbe tä mun ngögö ye tö mun kwatäi btä tä jodron niere ye.	Cuando el hombre se viene sintiendo con pereza y mucha pesadez es por causa de su compañera que está embarazada.
	La curación es que su propia compañera mastique agua, se baña o si no ella misma lo quema con un clavo delgado y caliente en la espalda y en los brazos de esta forma desaparece la pereza y la pesadez del cuerpo.
Mun juain bailare kwe, mungwe ñakä nuain, mungwe niara juan kone bti mungwe kämiga.	Es prohibido para la mujer embarazada comer de la casería de una persona cazadora.
Ne erere nunìe kwetre, bichogrä kämiri kwetre, bti niguitre kä mada bti ngwai abugon nibi gigantebe niara brare abugon nigui mren krabare, biti nigui la koinbti nigwi mada mugue ogwä krwere.	Cuando algún animal es cazado por el perro es prohibido taparlo cuando se está cocinando.
Kä ne jatä i krüte aune rugaitä ni ne die miguetä.	Se dice que el perro pierde el olfato para la casería.
Kä ngwitäri ye migadre utuate jae ye konti ni bagai kuin tä nüne btä ni bogai kome erato.	Cuando se sueña con una mujer hermosa es posible encontrarse con una serpiente en el monte.
Ni kä Javier Quirós Mendoza.	Narrado por Javier Montezuma Montezuma.
(2013), kägwe kugwe ne ton bare.	Agosto 2013.
Kugwe migatä tä te ni Ngäberagwe Ñaka tä gare meri döbogo tä te ni jatä kreneUsulin tä kri tägue ye konti ñakä nondre tä köbö baga te Dröra tä mate kribtä ye bti ñakä mrö riadre ni jatä solane Monso kia ñakä kise migadre toboabtä naune jatä nimien ngoi Monsotre kia ñakä kise migadre ogwä kware jodron kiaga käsentä yebtä, rogate mada. ~~~ Jodron kiaga käsentä, kwetä dre gwitä ye kra o kä migadre kointä krägäre.	Artesanía TradicionalLa artesanía Ngäbe tiene como eje la confección de artículos, que se destacan por su calidad y colores, elaborados de fibra natural extraída de la corteza del árbol de mastate.
Monso kia darere ye aune döngón tä in mägare kusogwäbtä ne krwere krwa bian ñakä ie. medicinas para ahuyentar los espíritus Monso kia tuglo nirien ye kurua ketä rega bäbägä tuglobtä.	Se usa para fabricar los vestidos tradicionales antiguamente.
Chichibo yebtä ñakä kise migare, solan o sigwiriä ketäga nibtä kwe.	Las chácaras o bolsas tejidas con fibra de pita y balso.
Niuli, Mubai, muguine ngadabare, btä meri döbogo ye aibe kägwe kraga sribedre Chogali juandretäri käre.	En el verano las mujeres de una familia se reúnen para cortar las hojas de pita que crecen bajo los árboles de las orillas de los ríos y quebradas; el proceso de preparación consiste: las hojas son colocadas, sobre un palo en diagonal bajo la sombra de un árbol, para raspar la piel y exponer la fibra vegetal que luego lavan en el río, posteriormente se secan al sol.
Usulin raba krübäte aune, ye nibi krutu kugwatä ie, kwe rigadre mentogwäre käreSö ngübüe kitädre ja ngotogwäbtä bti ni rigadre käsentä, yebtä icha rigadre mentogware.	Estos bolsos se decoran con dibujos de vivos colores y los diseños se basan en líneas geométricas por medio de pequeños triángulos, coordinando cuidadosamente cada color.
Ni nemen bren kogwätä gwe, ye konti ni merire dobogo ñakä tä dre.	Los dibujos contienen figuras de animales, plantas, rasgos de animales y humanos.
Kä tä kite krene ja otä kru bate, ye konti ni merire döbogo kägwe ni kugware klabobtiMeri döbogo kägwe ñakä ni käbä kwetä dre ogwä kware. ~~~ Nugwe ngri kämigadre, ye ngwane ñakä jue migadre, ngri ra riate konKöbötä Meribe ye köbötä kogwätä be Köbödre ni ngadabarebe, ye ja köbatigatä.	Para los Ngäbe (hombres) los bolsos o chácaras, representan un tesoro valioso, las llevan con orgullo como parte de su vestuario, se la cuelgan al hombro y se usa para guardar cosas personales por ejemplo el tabaco, la pipa, los fósforos y hasta dinero.
Narrado. ~~~ Javier Montezuma Montezuma (2013). ~~~ Sribi däte nuaintaJodron biti kra sribetä, jodron ñöi biti kö jugatä kutua datetä ye tä kwentäri jökrä kä togwäte o kä mute.	También las mujeres tejen bolsos o chácaras más grandes, para transportar a los niños recién nacidos sobre la espalda, para largos viajes, durante la siembra o cosecha con los que los cuelgan de los árboles para dormir los niños.
Krün kwatä btä kiga yebti kra datetä btä jamäga sribetä Jodron tä ra nemen tä te dätedre aune, Ngäbetre merire, tä tre kö kwite kisebti o tä mrugue ja uliebti yebti mada tätre kra sribere tuarebe, batä ga ngwarbe.	Las Hamacas: La materia prima utilizada, es encontrada en el bosque como el balso, raíces y hojas para hacer tintes naturales, su confección es de suma delicadeza y creatividad para combinar los colores y diseños.
