[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]	[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]
[NEW DOCUMENT 03/08/22 SP:05:12:p GN:05:21:p]	[NEW DOCUMENT 03/08/22 SP:05:12:p GN:05:21:p]
Sãmbyhyhára omoirũ aranduka ñeguenohẽ póncho para’i rehegua.	Ministra acompañó lanzamiento de libro sobre poncho para’i.
Ko ararundýnpy, 8 jasyapy, Día Nacional del Poncho Para’i de 60 Listas y de las Tejedoras y Tejedores-pe, oñeguenohẽ aranduka hérava “Poncho Para’i de 60 Listas”, aty omoirũva’ekue Paraguái Ñe’ẽnguéra Sãmbyhyhára (PÑS), Ladislaa Alcaraz de Silvero.	Hoy miércoles 8 de marzo, Día Nacional del Poncho Para’i de 60 Listas y de las Tejedoras y Tejedores, se realizó la presentación del libro “Poncho Para’i de 60 Listas”, actividad acompañada por la ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero.
[NEW DOCUMENT 02/24/22 SP:11:54:a GN:11:59:a]	[NEW DOCUMENT 02/24/22 SP:11:54:a GN:11:59:a]
PÑS sãmbyhyhára omoirũ Comité Nacional de Salvaguardia del Patrimonio Cultural Inmaterial aty.	Ministra de SPL participó de reunión de Comité Nacional de Salvaguardia del Patrimonio Cultural Inmaterial.
Paraguái Ñe’ẽnguéra Sãmbyhyhára, Ladislaa Alcaraz de Silvero, omoirũ ko árape Comité Nacional de Salvaguardia del Patrimonio Cultural Inmaterial - Nivel Político ñeñombyaty, Memoria y Centro Cultural 1A.	La ministra de la Secretaría de Políticas Lingüísticas, Ladislaa Alcaraz de Silvero, participo de la reunión del Comité Nacional de Salvaguardia del Patrimonio Cultural Inmaterial - Nivel Político, en el Memorial y Centro Cultural 1A.
[NEW DOCUMENT 02/23/22 SP:06:55:a GN:07:00:a]	[NEW DOCUMENT 02/23/22 SP:06:55:a GN:07:00:a]
Paraguáipe oikóta CILPE 2023 arýpe.	Paraguay será sede de la CILPE 2023.
Mbohapyha Conferencia Internacional de las Lenguas Portuguesa y Española (CILPE 2023) oikóta Paraguáipe, upéichama oje’e opakuévo ko aty mokõiha ojegueroguatava’ekue Brasil-pe upe arapokõindy ohasava’ekuépe.	La 3ª Conferencia Internacional de las Lenguas Portuguesa y Española (CILPE 2023) se llevará a cabo en el Paraguay, decisión tomada en el cierre de la segunda edición del importante evento realizado en Brasil la semana pasada.
Organización de Estados Iberoamericanos (OEI) Paraguái pegua, ha Tetã Rekuái, oñondive ombosako’íta ko aty guasu oikótava ary oúvape.	La Organización de Estados Iberoamericanos (OEI) de Paraguay, conjuntamente con el Gobierno Nacional, coordinarán la realización de la conferencia internacional.
[NEW DOCUMENT 02/23/22 SP:05:06:a GN:05:10:a]	[NEW DOCUMENT 02/23/22 SP:05:06:a GN:05:10:a]
Oñemyatyrõ ha oñemongakuaave rire, ko árape oñeguenohẽ jeýta Guarani Ñe’ẽryru.	Versión corregida y aumentada del Diccionario Guaraní se presenta hoy.
Guarani Ñe’ẽ Rerekuapavẽ (GÑR) ombosako’i ko árape g̃uarã aty oguenohẽtahápe Guarani Paraguái Ñe’ẽryru, omyatyrõ ha omongakuaave rire ko aranduka.	La Academia de la Lengua Guaraní (ALG) realizará hoy miércoles la presentación de la versión corregida y aumentada del Diccionario de la Lengua Guaraní del Paraguay.
Ko aty, ikatutahápe ojeho, oikóta 16:30 aravo guive, GÑR rógape, París 1102 ha Madrid-pe, Paraguay távape.	El evento presencial será a partir de las 16:30, en la sede de la academia, en París 1102 Esq. Madrid, ciudad de Asunción.
[NEW DOCUMENT 02/22/22 SP:10:29:a GN:10:38:a]	[NEW DOCUMENT 02/22/22 SP:10:29:a GN:10:38:a]
Ñe’ẽ ypy tuicha mba’eha rehe oñeñe’ẽ tembipurupyahu rupive.	Importancia de la lengua materna fue tema de reflexión en evento virtual.
Ko arakõi, 21 jasykõime, oñemomorã Ñe’ẽ Ypy Ára Yvy Ape Ári, aty ojegueroguatava’ekue tembipurupyahu rupive ha omoakãva Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS), ohesa’ỹijóva tuicha mba’eha ñande rekovépe ñane ñe’ẽ ypy.	Este lunes 21 de febrero se realizó la conmemoración del Día Internacional de la Lengua Materna, evento virtual organizado por la Secretaría de Políticas Lingüísticas (SPL) y que tuvo como ejes temáticos el valor y la importancia de la lengua materna en la vida de las personas.
[NEW DOCUMENT 02/17/22 SP:09:24:a GN:09:26:a]	[NEW DOCUMENT 02/17/22 SP:09:24:a GN:09:26:a]
Tuicha mba’eha umi ñe’ẽ ypy oikovéva Paraguáipe rehe oñeñe’ẽta.	Reflexionarán sobre la importancia de las lenguas maternas paraguayas.
Ág̃a arakõi oúvape, 21 jasykõime, oñemomorã Ñe’ẽ Ypy Ára Yvy Ape Ári, ára guasu jajesarekóvo mba’eichaitépa ñane retãme oikove heta ñe’ẽ ha ikatuha hetaichagua ñe’ẽ ypy jaguereko.	El próximo lunes 21 de febrero se conmemora el Día Internacional de la Lengua Materna, fecha muy significativa para nuestro país atendiendo la riqueza lingüística que coexiste en el Paraguay y las múltiples posibilidades de lengua o lenguas maternas existentes.
Upévare, Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) ombosako’i peteĩ aty guasu tembipurupyahu rupive oñemomorãvo ha oñemomba’évo ko ára.	En ese marco, la Secretaría de Políticas Lingüística (SPL) organiza un evento virtual de conmemoración de la significativa fecha.
[NEW DOCUMENT 02/16/22 SP:11:30:a GN:11:35:a]	[NEW DOCUMENT 02/16/22 SP:11:30:a GN:11:35:a]
PÑS sãmbyhyhára oñe’ẽ Brasil-pe Paraguái ñe’ẽnguéra rehe.	Ministra de SPL expuso en Brasil sobre situación lingüística paraguaya.
Paraguái Ñe’ẽnguéra Sãmbyhyhára (PÑS), Ladislaa Alcaraz de Silvero, ohesa’ỹijo ko ararundýpe imba’ekuaapy Paraguáipe ñe’ẽnguéra rehepa mba’éicha oñemba’apo.	La ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero, brindó este miércoles una conferencia magistral sobre política y planificación lingüística en Paraguay.
Kóva oiko 2ª edición de la Conferencia Internacional de las Lenguas Portuguesa y Española (CILPE 2022) ryepýpe, Brasilia távape, Brasil-pe.	Fue en el marco de la 2ª edición de la Conferencia Internacional de las Lenguas Portuguesa y Española (CILPE 2022), desarrollada en Brasilia, Brasil.
[NEW DOCUMENT 02/15/22 SP:10:41:a GN:10:53:a]	[NEW DOCUMENT 02/15/22 SP:10:41:a GN:10:53:a]
Brasil-pe oñeñe’ẽta portugués ha español ñe’ẽ tembikuaa ha tembipurupyahúpe rehe.	En Brasil debatirán sobre el futuro del portugués y español en la ciencia y la tecnología.
Amandaje guasu mokõiha hérava Conferencia Internacional de las Lenguas Portuguesa y Española (CILPE 2022), oñepyrũtava ko’ẽrõ, ararundy 16 jasykõime, ha ojepysóta arapoteĩ 18 peve, Brasilia (Brasil)-pe, ohesa’ỹijo ha ombojohovakéta mba’eichaitépa oĩ ko’ã mokõive ñe’ẽ yvy ape ári; avei, umi mba’e pyahu ojepurúva oñemoasãi hag̃ua ko’ã ñe’ẽ, taha’e arandupýpe, tembikuaa ha mba’e oñemboheko pyahúvape.	La 2ª edición de la Conferencia Internacional de las Lenguas Portuguesa y Española (CILPE 2022), que arranca mañana miércoles 16 de febrero hasta el viernes 18 y tiene como sede Brasilia (Brasil), debatirá sobre la situación de ambos idiomas en el mundo actual, así como de nuevas formas de fortalecer la difusión de estas lenguas en los ámbitos de la cultura, la ciencia y la innovación.
[NEW DOCUMENT 02/14/22 SP:07:19:a GN:07:34:a]	[NEW DOCUMENT 02/14/22 SP:07:19:a GN:07:34:a]
PÑS sãmbyhyhára omoirũ heta tetã ñombyaty ypykuéra ñe’ẽita rérape.	Ministra de SPL participó de reunión regional sobre lenguas indígenas.
Arapokõindy ohasava’ekuépe oñombyaty peteĩha Consejo Intergubernamental (CIG) Instituto Iberoamericano de Lenguas Indígenas (IIALI) rehegua.	La pasada semana se realizó la primera reunión del Consejo Intergubernamental (CIG) de la iniciativa Instituto Iberoamericano de Lenguas Indígenas (IIALI).
Paraguái rérape, omoirũ avei Paraguái Ñe’ẽnguéra Sãmbyhyhára (PÑS), Ladislaa Alcaraz de Silvero.	Como parte de la delegación paraguaya, estuvo presente la ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero.
[NEW DOCUMENT 01/27/22 SP:07:32:a GN:07:36:a]	[NEW DOCUMENT 01/27/22 SP:07:32:a GN:07:36:a]
Oñeguenohẽta aranduka “Vocabulario Paĩ Tavyterã Guaraní”.	Presentarán el libro “Vocabulario Paĩ Tavyterã Guaraní”.
Aranduka, 40 ary oñemono’õpyre kuaapy ñe’ẽ rehegua, hérava “Vocabulario Paĩ Tavyterã”, ohaiva’ekue Celeste Escobar ha Gregorio Gómez Centurión, oñeguenohẽta ág̃a araapy, 8 jaykõime, 9:00 aravo guive, óga ñombyatyhápe, táva Ita Guasúpe, Amambay tavusúpe.	El libro que reúne 40 años de trabajo de documentación lexicográfica, “Vocabulario Paĩ Tavyterã”, de Celeste Escobar y Gregorio Gómez Centurión, será presentado el martes 8 de febrero, a las 9:00, en el hogar ceremonial de la comunidad Ita Guasu del departamento de Amambay.
[NEW DOCUMENT 01/25/22 SP:06:31:a GN:08:03:a]	[NEW DOCUMENT 01/25/22 SP:06:31:a GN:08:03:a]
Ka’akupe Tavao ha PÑS mba’apoharakuéra oñombyatýkuri.	Municipalidad de Caacupé se reúne con técnicos de la SPL.
Ka’akupe Tavao pegua Dirección de Educación moakãhára, María Laura García Osorio, ha ko temimoĩmby mba’apohára Óscar Bobadilla oñombyaty ha omba’apo Ñe’ẽ Rape’apo Moakãhapavẽ, Paraguái Ñe’ẽnguéra Sãmbyhyha puegua, mba’apoharakuéra ndive.	La directora de Educación de la Municipalidad de Caacupé, María Laura García Osorio, y el funcionario de la misma comuna Óscar Bobadilla mantuvieron una reunión de trabajo con técnicos de la Dirección de Planificación Lingüística de la Secretaría de Políticas Lingüísticas (SPL).
[NEW DOCUMENT 01/24/22 SP:08:26:a GN:08:07:a]	[NEW DOCUMENT 01/24/22 SP:08:26:a GN:08:07:a]
Cordillera tavusúpe oho omba’apo PÑS mba’apoharakuéra.	Gobernación de Cordillera recibió a técnicos de la SPL.
Oisãmbyhýva Tekombo’e Cordillera Gobernación guive, Graciela Medina González, omog̃uahẽ ko tavusúpe Ñe’ẽ Rape’apo Moakãhapavẽ, Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS), mba’apoharakuérape.	La encargada del área de Educación de la Gobernación de Cordillera, Graciela Medina González, recibió a técnicos de la Dirección General de Planificación Lingüística de la Secretaría de Políticas Lingüísticas (SPL).
[NEW DOCUMENT 01/19/22 SP:11:00:a GN:11:04:a]	[NEW DOCUMENT 01/19/22 SP:11:00:a GN:11:04:a]
50.000 rasáma oñemboguejy app Guarani Ayvu.	App Guarani Ayvu ya superó las 50 mil descargas.
Ko tembipuru ombohasáva ñe’ẽ guarani, castellano ha inglés-pe, hérava Guarani Ayvu, 52.200-ma oñemboguejy pumbyry popeguápe.	La aplicación que traduce palabras en tres idiomas (guaraní-castellano-inglés), Guarani Ayvu, ya fue descargada en 52.200 dispositivos móviles.
Ko app oñemboguejy pokõi tetãme, ha péicha ojeipapa: Paraguái (40.770), Argentina (5.173), Brasil (1.991), Bolivia (1.626), España (1.058), Estados Unidos (322) y Alemania (209).	Las descargas de la app, según los países, se discriminan de la siguiente manera: Paraguay (40.770), Argentina (5.173), Brasil (1.991), Bolivia (1.626), España (1.058), Estados Unidos (322) y Alemania (209).
[NEW DOCUMENT 01/19/22 SP:07:37:a GN:08:26:a]	[NEW DOCUMENT 01/19/22 SP:07:37:a GN:08:26:a]
PÑS guive oñemba’apo UAL Villarrica peguakuéra ndive.	Técnicos de la SPL se reunieron con la UAL de Villarrica.
Ñe’ẽ Rape’apo Moakãhapavẽ Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) pegua mba’apoharakuéra oñombyaty Unidad de Asuntos Lingüísticas (UAL), mbo’ehaovusu Universidad Nacional de Villarrica del Espíritu Santo (UNVES), pegua mba’apohára ndive.	Técnicos de Dirección General de Planificación Lingüística de la Secretaría de Políticas Lingüísticas (SPL) se reunieron con el referente de la Unidad de Asuntos Lingüísticos (UAL) de la Universidad Nacional de Villarrica del Espíritu Santo (UNVES).
Kóva omombe’u mba’éichapa oñemba’apo ko mbo’ehaovusu guive oñemoañeteségui Léi 4251/10 Ñe’ẽnguéra Reheguápe he’íva.	En charla con el referente, este comenta sobre los procesos que van desarrollando en la institución de educación superior en materia de aplicación de la Ley 4251/10, De Lenguas.
[NEW DOCUMENT 01/18/22 SP:12:02:p GN:12:44:p]	[NEW DOCUMENT 01/18/22 SP:12:02:p GN:12:44:p]
PÑS oñombyaty Ishir-kuéra ndive Fuerte Olimpo-pe.	SPL se reunió con referentes del pueblo Ishir en Fuerte Olimpo.
Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) mba’apoharakuéra oñombyaty Ishir-kuéra ndive, Fuerte Olimpo, Paraguái Chákope.	Técnicos de la Secretaría de Políticas Lingüísticas (SPL) visitaron a referentes de una comunidad indígena del pueblo Ishir del distrito de Fuerte Olimpo, Chaco paraguayo.
Ko atýpe, umi ypykuéra he’i omba’aposeha iñe’ẽnguéra rehehápe, tove toñomongeta ha toñombohovake hikuái ha upéichape tove taimbareteve ko’ẽ rei rehe iñe’ẽnguéra.	En la reunión, los nativos expresaron su deseo de trabajar por su lengua propia, buscando el fortalecimiento de la misma a partir de la creación de espacios de discusión del idioma propio.
[NEW DOCUMENT 12/15/21 SP:11:01:a GN:11:09:a]	[NEW DOCUMENT 12/15/21 SP:11:01:a GN:11:09:a]
Oñembojopói ha’evévape mombe’urã jehaípe guarani ha castellano-pe.	Premian a ganadores del Concurso de Cuentos Cortos en Guaraní y Castellano.
Ko ararundy pyharevépe, peteĩ aty guasúpe, oñembojopói umi ha’eveva’ekuépe mombe’urã jehaípe guarani ha castellano-pe, ñoha’ã ombosako’íva Centro Cultural de la República El Cabildo ha Academia Olímpica Paraguaya (AOP), ha oipytyvõ Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS), Guarani Ñe’ẽ Rerekuapavẽ (GÑR) ha Comité Olímpico Paraguayo (COP).	Este miércoles se realizó la ceremonia de premiación a los ganadores del Concurso de Cuentos Cortos en Guaraní y Castellano llevado a cabo por el Centro Cultural de la República El Cabildo y la Academia Olímpica Paraguaya (AOP), con el apoyo de la Secretaría de Políticas Lingüísticas (SPL), la Academia de la Lengua Guaraní (ALG) y el Comité Olímpico Paraguayo (COP).
Ko aty oiko COP koty guasúpe.	El acto tuvo lugar en el salón de eventos del COP.
[NEW DOCUMENT 12/13/21 SP:10:54:a GN:11:00:a]	[NEW DOCUMENT 12/13/21 SP:10:54:a GN:11:00:a]
AUGM pegua Guarani Mbo’esyry Consejo oñombyaty ko arakõime.	Consejo de Cátedra Guaraní de AUGM se reunió este lunes.
Guarani Mbo’esyry Consejo, Asociación de Universidades Grupo Montevideo (AUGM) pegua, oñombyaty ha omba’apo, tembipurupyahu rupive, ipahávo ko arýpe, ko arakõime, 13 jasypakõi pyharevépe.	El Consejo de la Cátedra Guaraní de la Asociación de Universidades Grupo Montevideo (AUGM) celebró, de manera virtual, su última sesión del año, este lunes 13 de diciembre.
Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) oĩ avei ko atýpe ha hérape oĩ ko jojuhúpe Ñe’ẽ Rape’apo moakãharapavẽ, Celia Godoy.	La Secretaría de Políticas Lingüísticas (SPL) forma parte del cuerpo colegiado y estuvo representada por la directora general de Planificación Lingüística, Celia Godoy.
[NEW DOCUMENT 12/07/21 SP:06:50:a GN:06:55:a]	[NEW DOCUMENT 12/07/21 SP:06:50:a GN:06:55:a]
MAG oguenohẽ apoukapy guaraníme.	MAG emitió resolución en guaraní.
Yvy a Tymba Ñangareko Motenondeha (Ministerio de Agricultura y Ganadería, MAG) oguenohẽ Apoukapy Ppy. 1856, omoĩva karai Pablino Gómez Vera-pe oisãmbyhy hag̃ua tembiapo ñe’ẽnguéra rehegua ko tetã remimoĩmbýpe.	El Ministerio de Agricultura y Ganadería (MAG) emitió la Resolución N° 1856 por la cual se asigna al Sr. Pablino Gómez Vera como coordinador técnico-lingüístico de la institución.
Ko kuatia osẽ mokõive tetã ñe’ẽ teépe, guarani ha castellano-pe.	El documento fue expedido en las dos lenguas oficiales del país, guaraní y castellano.
[NEW DOCUMENT 12/01/21 SP:08:28:a GN:08:35:a]	[NEW DOCUMENT 12/01/21 SP:08:28:a GN:08:35:a]
Guarani Ñe’ẽ Rerekuapavẽ oguenohẽ hemimyasãi mokõiha.	Academia de la Lengua Guaraní publicó el segundo volumen de su revista.
Guarani Ñe’ẽ Rerekuapavẽ (GÑR) oguenohẽ mokõiha Tembikuaa ha Ñe’ẽporãhaipyre Rapereka Remimyasãimby, aranduka osẽva guarani ha castellano-pe.	La Academia de la Lengua Guaraní (ALG) realizó el lanzamiento del segundo volumen de su Revista de Investigación Científica y Literaria, material redactado en guaraní y castellano.
Osẽ ñepyrũ ko temimyasãi kuehe, araapy, 16:00 aravóramo, GÑR rógape, opytáva París 1102-pe, Paraguay távape.	La presentación se realizó este martes, a las 16:00, en el local de la ALG, París 1102, en la ciudad de Asunción.
[NEW DOCUMENT 12/01/21 SP:06:02:a GN:06:10:a]	[NEW DOCUMENT 12/01/21 SP:06:02:a GN:06:10:a]
PÑS sãmbyhyhára omoirũ Roa haipy oñemoguaraniva’ekue ñeguenohẽ.	Ministra de SPL acompañó lanzamiento de textos de Roa traducidos al guaraní.
Ange pyhare oñeguenohẽ aranduka hérava “Mombe’urã imitãvape g̃uarã”, ombohasava’ekue guaraníme María Gloria Pereira aranduka hérava “Cuentos para la humanidad joven”, Premio Cervantes, Augusto Roa Bastos, rembiapokue.	Anoche se realizó el lanzamiento del libro “Mombe’urã imitãvape g̃uarã”, traducción al guaraní de María Gloria Pereira del libro “Cuentos para la humanidad joven” del Premio Cervantes, Augusto Roa Bastos.
Ko aranduka ñeguenohẽ oiko Biblioteca Nacional-pe, Paraguayýpe.	La presentación del material se realizó en la Biblioteca Nacional, en Asunción.
[NEW DOCUMENT 11/30/21 SP:09:00:a GN:12:24:p]	[NEW DOCUMENT 11/30/21 SP:09:00:a GN:12:24:p]
PARAGUÁI ÑE’ẼNGUÉRA SÃMBYHYHÁRA, OĨ KURI ATY TENONDERÃ OÑEMBOHAPEPOTÁVO ÑOÑE’ẼME’Ẽ PARAGUÁI TEKOMBO’E ÑEMOMBARETEVERÃ 2030-PE.	Ministra de la SPL, asistió a presentación del Primer Acuerdo para el diseño de Estrategias de transformación educativa Paraguay 2030.
Paraguái Ñe’ẽnguéra Sambyhyhára, Ladislaa Alcaraz de Silvero oĩ Kuri Aty Tenonderã Oñembohapepotávo Ñoñe’ẽme’ẽ Paraguái Tekombo’e Ñemombareteverã 2030, oñembosako’íva Paraguái Virurenda Atyguasu kotýpe. Ko aty omoakã Karai Juan Manuel Brunetti, Tekombo’e ha Arandupy Motenondeha, omog̃uahẽva ñoñe’ẽme’ẽ Paraguái Mburuvichavete Karai Mario Abdo Benitez pópe, upéicha avei temimoĩnguéra motenondeharakuérape, tavusukuéra omoakãva ha tekombo’epegua aty oĩvape.	La ministra de políticas lingüísticas, Ladislaa Alcaraz de Silvero participó de la presentación del primer acuerdo para el Diseño de la estrategia de Transformación Educativa Paraguay 2030, realizado en el Gran Teatro del Banco Central del Paraguay, la misma estuvo presidida por el ministro de educación y ciencias Juan Manuel Brunetti, quien presentó el acuerdo al presidente de la República, Mario Abdo Benitez, a ministros del poder ejecutivo, gobernadores y comunidades educativas presentes.
[NEW DOCUMENT 11/25/21 SP:11:00:a GN:11:18:a]	[NEW DOCUMENT 11/25/21 SP:11:00:a GN:11:18:a]
Nelson Quintana, “El poeta campesino”, oguenohẽta iñaranduka hérava “Chokokue sapukái”.	Nelson Quintana, “El poeta campesino”, lanza su libro “Chokokue sapukái”.
Nelson Quintana, ojekuaavéva “El poeta campesino” ramo, oguenohẽta iñaranduka hérava “Chokokue sapukái”, aranduka omono’õva 154 ñe’ẽyvoty ha 4 mombe’urã, opavave nunga ojehaíva guaraníme ha oñehesa’ỹijóva chokokue rembihecha ha rembihasapy omomba’éva hapicha rekove.	Nelson Quintana, más conocido como “El poeta campesino”, presentará su libro “Chokokue sapukái”, una obra que reúne 154 poemas y 4 relatos narrativos, la mayoría escritos en guaraní que aborda diferentes temas desde la visión y experiencia de un agricultor con alto grado de sensibilidad humana.
[NEW DOCUMENT 11/25/21 SP:09:02:a GN:09:08:a]	[NEW DOCUMENT 11/25/21 SP:09:02:a GN:09:08:a]
Oñemboheraguapy ñoñe’ẽme’ẽ oñemombarete hag̃ua guarani Guarambarépe.	Firman convenio para fortalecer uso del guaraní en Guarambaré.
Oñemboguata hag̃ua tembiapo ikatúva oipytyvõ guarani ñe’ẽ oñemomba’eguasu, ojehecha ha ojeporu hag̃ua mamo hendápe ha opa mba’erã, tetã ñe’ẽ teeháicha, ojehai ha oñeñe’ẽnguévo, Paraguái Ñe’ẽnguéra Sãmbyhyha ha Guarambare Tavao omboheraguapy ñoñe’ẽme’ẽ ñembokuatia.	Con el objetivo de promover programas y proyectos que apunten a la revalorización, visualización y normalización del uso oral y escrito de la lengua guaraní como lengua oficial del país, la Secretaría de Políticas Lingüísticas y la Municipalidad de Guarambaré firmaron un convenio de cooperación interinstitucional.
[NEW DOCUMENT 11/24/21 SP:09:04:a GN:09:14:a]	[NEW DOCUMENT 11/24/21 SP:09:04:a GN:09:14:a]
Oñeguenohẽ mombe’urã mitãme g̃uarã guaraníme ha oñembohasáva Braille-pe.	Disponibilizan textos infantiles en guaraní traducidos al sistema Braille.
Temimoĩmby Centro de Recursos Santa Lucía oguenohẽ mombe’urã hérava “Aranduka jeporujojarã.	El Centro de Recursos Santa Lucía publicó el material de lectura “Aranduka jeporujojarã.
Compilación de sencillos textos en guaraní, impresos en Braille, tinta y dibujos en relieve”, mba’eguasu ikatúva oiporu mitãkuña, mitãkuimba’e ha mitãrusu guaraníme oñe’ẽva ha ndohecháiva.	Compilación de sencillos textos en guaraní, impresos en Braille, tinta y dibujos en relieve”, un importante recurso didáctico para las niñas, niños y jóvenes guaranihablantes con discapacidad visual.
[NEW DOCUMENT 11/24/21 SP:06:07:a GN:06:16:a]	[NEW DOCUMENT 11/24/21 SP:06:07:a GN:06:16:a]
Oñembojopóita ypykuéra ñe’ẽ ha arandupy myasãiharakuérape.	Distinguirán a promotores de lenguas y culturas indígenas.
Mokõi aryháma ha ojoapykuéri ojehechakuaa ha oñembojopóita ko arapoteĩme heta ñande rapicha ha temimoĩmbýpe akóinte oykekóre Paraguái pegua ypykuéra ñe’ẽ ha arandupy ñemombarete ha ñemoasãi rehe.	Por segundo año consecutivo se llevará a cabo este viernes el acto de homenaje y entrega de reconocimientos a personas e instituciones con destacada trayectoria en la promoción, fortalecimiento y difusoras de las lenguas y culturas de los pueblos indígenas del Paraguay.
[NEW DOCUMENT 11/23/21 SP:10:37:a GN:10:51:a]	[NEW DOCUMENT 11/23/21 SP:10:37:a GN:10:51:a]
PÑS ombopyahu umi aty ohechátava hyepy guive oku’e porãpa tembiapoita.	SPL conformó nuevos equipos para responder a sistemas de control interno.
Paraguái Ñe’ẽnguéra Sãmbyhyha MECIP (Modelo Estándar de Control Interno para las Entidades Públicas del Paraguay) oisãmbyhýva oporombyaty ojeikuaauka hag̃ua umi aty omba’apótava temimoĩmby guive añetehápe oñemoañete hag̃ua Sistema de Control Interno oguenohẽva Contraloría General de la República.	La coordinación del MECIP (Modelo Estándar de Control Interno para las Entidades Públicas del Paraguay) de la Secretaría de Políticas Lingüísticas convocó a la reunión para la conformación de equipos que trabajarán en conjunto con el objetivo de responder con acciones colectivas las observaciones del informe de efectividad del Sistema de Control Interno de la Contraloría General de la República.
[NEW DOCUMENT 11/18/21 SP:11:06:a GN:11:15:a]	[NEW DOCUMENT 11/18/21 SP:11:06:a GN:11:15:a]
PÑS sãmbyhyhára oikuaakua tembiapoita ypykuérape.	Ministra de la SPL presentó informe ante pueblos indígenas.
Aty guasu hérava Jornadas de Rendición de Cuentas Públicas a los Pueblos Indígenas ryepýpe, Paraguái Ñe’ẽnguéra Sãmbyhyhára (PÑS), Ladislaa Alcaraz de Silvero, oikuaauka avei ko arapópe opa umi tembiapo oñemongu’eva’ekue ko tetã remimoĩmby guive ypykuéra rehehápe, ko’ýte iñe’ẽnguéra rérape.	En el marco de las Jornadas de Rendición de Cuentas Públicas a los Pueblos Indígenas, la ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero, presentó este jueves un informe acerca de las acciones emprendidas desde esta cartera de Estado que han favorecido a los pueblos indígenas, principalmente en las líneas de gestión de sus respectivas lenguas propias.
[NEW DOCUMENT 11/17/21 SP:08:47:a GN:08:30:a]	[NEW DOCUMENT 11/17/21 SP:08:47:a GN:08:30:a]
PÑS sãmbyhyhára oñe’ẽ Paraguái ñe’ẽnguéra rehe.	Ministra de SPL disertó sobre realidad lingüística paraguaya.
Paraguái Ñe’ẽnguéra Sãmbyhyhára, Ladislaa Alcaraz de Silvero, ohesa’ỹijo Paraguái ñe’ẽnguera rehegua kuaapy, kóva oiko Instituto Técnico Superior de Sanidad Militar-pe, oĩva Dirección del Servicio de Sanidad de las Fuerzas Armadas de la Nación ryepýpe.	La ministra de la Secretaría de Políticas Lingüísticas, Ladislaa Alcaraz de Silvero, realizó una disertación sobre la realidad lingüística del Paraguay, la misma se realizó en las instalaciones del Instituto Técnico Superior de Sanidad Militar, dependiente de la Dirección del Servicio de Sanidad de las Fuerzas Armadas de la Nación.
[NEW DOCUMENT 11/16/21 SP:09:02:a GN:09:09:a]	[NEW DOCUMENT 11/16/21 SP:09:02:a GN:09:09:a]
Tetã rembiapokue jeikuaauka umi ypykuérape.	Rendición de cuentas públicas ante pueblos indígenas.
Opa umi tetã remimoĩmby omba’apovéva ypykuéra ykére ha hesehapekuéra, ko araapy guive oikuaauka ha ohechauka ypykueraitépe opa umi mba’e omongu’éva hikuái hesehápe ha herapekuéra.	Las principales instituciones responsables de la implementación de políticas públicas que afectan a los pueblos indígenas presentan desde hoy martes la rendición de cuentas a los miembros de los diferentes pueblos indígenas del país.
Paraguái Ñe’ẽnguéra Sãmbyhyha oĩ avei umi tetã remimoĩmby apytépe omba’apóva ypykuéra ndive ha hesehapekuéra.	La Secretaría de Políticas Lingüísticas forma parte de los entes públicos que hablarán de sus trabajos misionales a favor de los nativos.
[NEW DOCUMENT 11/11/21 SP:11:27:a GN:11:32:a]	[NEW DOCUMENT 11/11/21 SP:11:27:a GN:11:32:a]
Oñembosako’i ypykuéra rembiapojegua jehechauka, Ore.	Organizan feria de artesanía indígena, Ore.
Instituto Paraguayo de Artesanía (IPA) ombosako’i ypykuéra rembiapojegua jehechauka hérava Ore, oikótava ko’ẽrõ 12 ha ko’ẽambuérõ 13, ko jasypateĩme, han central del Paseo La Galería-pe, 10:00 aravo guive 22:00 peve.	El Instituto Paraguayo de Artesanía (IPA) organiza e invita a la Feria Ore de artesanía indígena que se realizará mañana viernes 12 y el sábado 13 de noviembre en el hall central del Paseo La Galería, de 10:00 a 22:00.
[NEW DOCUMENT 11/11/21 SP:10:32:a GN:10:43:a]	[NEW DOCUMENT 11/11/21 SP:10:32:a GN:10:43:a]
PÑS oguenohẽ apoukapy irundy ñe’ẽme.	SPL publica resolución en cuatro lenguas.
