[NEW_DOCUMENT: DOCid=0, lang=nah, DOCNAME=CENTE COUATL HUAN TLACATL ].	[NEW_DOCUMENT: DOCid=0, lang=spa, DOCNAME= LA CULEBRA Y EL HOMBRE ].
Ika inon tlen kaxtilantiechkaujtlanauatilme okiyekitake inyekyo maseual ka’kala’ten keni kimoyaxkatiske miyaktlalten kani kuali tlamiloske uan motekipanoski, uan noyoujke okinkaujke makipaleuikan in nechikoltlamilol ipan in tla’tlaniltekiua’me.	Ya no sabía qué hacer, qué cosa ponerle a esos animales, si envenenarlos, cazarlos o avisarle a su papá, y no quería avisarle a su papá, no fuese a pegarle. ~~~ El conejito ya sabía en dónde había.
Tlen ma’seualtlayekanalistli uan tlen intekiujtla’tlanilis omochiuj kachi kuali ipan tlatsintla xolalpa altepeme, kani maseual ka’kala’tin yomokaujtoya tiachkaujtlakamatili uan kitemakayaya intlaxtlauiloni.	Una vez salió por el campo y se fue a encontrar a las liebres y les dijo: —¿Qué se hacen, buenas liebrecitas? —Nada, buen conejito, ¿qué viniste a hacer por aquí?
San ika ipa ini’ke tlane’neuilis tlanextil altepeme okatka aki’ke oki’seli’ke kachi kuali intla’tlanilis kaxtilanyoujme, inye’uan aki’ke okimachiliyaya inuan kuali monauatiske ino’ke tlatlankime ipan nepantlaxolalnantlime uan okseki’ke aki’ke a’mo omokaujke keni “Mayas” uan “Mixes” tlen Uaxpa kayome.	
Uan ika inon in tlakpak xolalpa altepeme, aki’ke a’mo tlakitski’toke imajko nian aki noso kipiya tlen pampa kitlakaitaske se tiachkatlanauatil noyoujke a’mo kipiya itla’tlen kitlaxtlauaske ika inon a’mo okiseli’ke kaxtilantla’tlanilistle ika inon in tla’tlanilis omochiuj yolik uan kuali uan a’mo okiseli’ke makintlakui’kuilikan ipan ini’ke xolalme.	
In miyak tlamantli, in tlakpak xolalpa chanime, okinpiyaya’ke chi’ton iuanpojuan, ika inon okintlami’ke; uan oksekinten, okinixtopeujke ika okse innemilis, uan okinchiujke te’tepal tlamilolme, ika ino okintlane’neuilismikti’ke, ki’tosneki, opo’polijke intlane’neuilistlanextil, maske a’mo omi’mijke ye’uan, iyixpa in kaxtilantlatlanilistli, in Mexko maseual altepeme okitemo’ke keni kipaleuiske inyolnemilis, inselyouan noyoujke intlane’neuilis tlanextil uan iyaxkamauesyo.	
Tlen ika ojko kia’xiliske inon chiualisme okikuike miyajka tlamanchiaualisme, tlen oyaya ipampa kaxtilantlapaleuilonime uan ojko kikixtiske inyektlaitaloni uan yektlapiyaloni, uan noyoujke tlen mosi’siniloni ipampa tlen ye’uan, panotiya’tok ipan miyikten mosi’siniloni.	
Keni ika inon nepantla xolalaltepeme okinsetili’ke sanema ipan tomin tekipanolistli uan ipan yekaxtilantlanauatil tlayekanyotl, okipolota’ke ika inon tlen in xantil tiechkaujnauatilme, noyoujke in tlane’neuilistlanextil uan in tietlane’neuilis tlen ika omonauatilchiuaya.	
Ika inon, kachi omokuepke sanema ika ka’kala’ten maseual tekitkime aki’ke okitayaya kenik motekipanoske uan mopaleuiske ipan tlamiloli uan kenik a’mokipoloske inmaseualyo.	Vine a pasear, liebrecita. —Buen conejito, ¿tú no sabes a dónde podríamos ir, a alguna sementera a comer cualquier cosa, en donde siembren esos buenos hombres, como frijol, maíz, algo sabroso y agradable? —¡Cómo no!
Ini’ke altepeme okikaujke i’sijka inteotlane’neuilistli uan okinpatlake inteotsitsin ika tlen kinextiya inmaseualyekyotl.	¿Quieren ustedes ir? ~~~ Yo las llevaré; no sólo irán 57Tlalcoyote.
Ojko kuali oyekyolke inauak intiechkauj kaxtilanauatil, omomatke uan otekitke iuan intlatlankime.	Pequeño cuadrúpedo parecido al perro y a la zorra, que se esconde bajo tierra. ~~~ (Siméon, p.
Kachikuali Inepanko Mexko a’mo oyex ueyisi’siniloni ipampa kaxtilanchanime keni oue’kauj panok intlatlanili ipan yeyi xantil xiujme.	540; Molina, p. ~~~ 124, 2a. parte. )contento el muchacho perezoso de haber puesto la trampa con la que esperaba coger a los animales.
San ika, matikmatika keni ye’uan omomatke i’sijka ini’ke ka’kala’ten ok kate ipan ini’ke tonalten, kampa kipaleuiya intlal uan kiiljuichiua intiotekouan maske miyakten yikaxtilantla’toua uan ayakmo kiseliya makiniluikan maseualme.	Luego, cuando oscureció por la noche, primero llegaron las hormigas cabezonas, y entraron por donde estaba la trampa, pasaron la trampa y nada, no cogió ni una hormiga; en seguida llegaron los ratones y cuando pasaron en medio de la trampa olieron la grasa que había en la trampa, luego empezaron a roerla.
4Ipan oksekinte tlatsintla xolal altepeme, keni xolalpa “Maya” uan Michuajka, in tiachkatlanauatil kachi a’mo chikauak ika inon kinkaua maseual altepeme maki pixtokan ok tepitsin in tla’neneuilis tlanextil uan in teotlane’neuilisyo, tlen kachi okin paleui noyoujke okixiko’ke ok tepitsin kuali inkaxtilan tlatlanilistli uan omochikaujke ika tlasi’sinilistli ipampa in ue’ka chanime.	
5Noyoujke tlen altepeme mochanti’toya’ke ipan altepeme kani a’mo yek kuali a’xiua, keni in Mixes tlen Uaxpa chanime, in Uicholes uan Kora tlen “Nayarit” uan Xalixko chanime, uan in Tarahumaras tlen “Chihuahua” chanime, ye’uan kuale ocholo’ke inyixpa kaxtilantlatlanime ipan miyikten xantilxiujme, uan satepa okintlanke ika tlakatiotlane’neuilisten aki’ke okatka mochantiya ipan in xolalpa.	
Noyoujke ke ino opanok inuan altepechanime aki’ke itoka “Yakis” uan in pápagos aki’ke mochanti’toke ipan xolalapa tlalxipitstik kani a’mo itlatlen mochiua tlen ueyi altpeuj itoka “Sonora”.	El muchacho engrasó la trampa, creyendo que eso era lo mejor, porque con la grasa resbalaría y se cogería al ladrón.
6Ik oksepa, in kaxtilanchanime okiualuikake oksekinte yankuik xiujtlamilolme uan yolkame, tlane’neuilisme uan tiechkaujtlayekanme, yankuik tekitl tlayekanme uan oksekin tlamantlime.	Tan pronto como los ratoncitos la royeron con sus dientes y probaron que no estaba sabrosa, la dejaron, y siguieron de nuevo su camino.
Inuan ouala’sike in lama’kuakoue’ten, pi’tsome, kalnelo’te, tentsome, kauayo’ten uan kuapolokten, uan sanepa omokuepke ini’ke yolkame keni ipan miyikten maseual altepeme, noyojke inxiujtlamilolme, keni inon tlen itoka “trigo” noyoujke “arroz” tlen opeujke kikua.	
Kachi mochten maseual altepeme tlen kate ipan tonantli okinmachti’ke intlakateotlane’neuilisten, uan tlen achto in teotlane’neuilis okin totokake uan okinixpopolo’ke.	Llegados a la sementera comenzaron a roer, a roer, a roer y el muchacho dormía como si estuviese muerto.
Uan ojko otlanke keni omonenelo’ke tlen yiue’kauj uan yankuik tlane’neuilisme uan ojko oneske in teotlane’neuilistlime tlen yetoke ipan ini’ke tonalten.	Se vieron junto al viejo madroño todos los animales; ya se habían reunido en la noche los tejones, el armadillo, el conejo, la liebre, el tlalcoyote, el zorro y otros animales más.
In kaxtilanchanime noyoujke okin chikaujtlali’ke yankuik maseual kaltlayekankime.	Cuando estuvieron todos juntos, se formaron en fila; el venado iba al frente.
Keni in tiachkatlayekanki ipan altepeme tlen okintokayoti’ke “indios”, iuan tekinechikolchiualistli in tiotekichiualistli uan mauesyotl.	Cuando llegaron a la orilla de la sementera, dijo el venado: —Hagan alto un rato, que pueda yo escuchar si viene alguno.
Uan ojko maseualme okimatke keni kikuepaske uan kiyektlaliske in tlanekilyo uan ojko okiske mauesyotekitlme uan tekiuanyome aki’ke mochiujtoke nepantlanemilis uan ixnexkayotl maseual tlen keni axan mochiua.	
Noyoujke omochiuj keni in tlakemitl, tlen okintlalili’ke tlen tlamantli ue’ka ualato’ke, keni in to’miyo, keni okin yekchi’chiujke in maseualme.	Se paró y se puso a oír y dijo: —No oigo nada, ni veo nada; apresurémonos, ya estamos a la orilla de la sementera.
In tla’tolme noyoujke okitla’tlanke miyak tlaneujtilistli tlen iyaxkayo in kaxtilantla’toli.	Llegaron y les dijo el venado: —Yo voy a saltar como si volara y ustedes verán cómo no tiro ni una piedra.
In maseual altepeme noiuan omosentlali’ke in tli’tliltik tlakame uan siuame tlen okin ualika’ke nikan Mexko keni intikitkauan in kaxtilantla’touanime.	Así sucedió, realmente, y los demás pasaron también; unos por encima de la cerca, otros metiéndose por el hoyo.
Miyakten omonamikti’ke maseualtlakame uan maseualsiuame uan ojko kuali sesejka opeujke nemiyaya.	Entraron de prisa, todos come, y come, y come, y el muchacho dormido como una piedra, no oía nada.
Uan ojko oksekinten maseualten okianke intlane’neuilis, tekichiualistli, tlatsotsonali uan keni kui’kuikalis tlane’neuilistli in África kayo’me.	Al día siguiente se levantó y fue a ver su sementera.
Tlen ue’ueyi patlali tlamantlime okipixke maseual altepeme uan in tlane’neuilis tlanextil ipan kaxtilantlatlankime a’mo kuali moitas keni san inon tlen okin ualikili’ke ue’ka chanime, noso tlen ika ino okin poljuili’ke tlen in yek tlane’neuilis tlanextil, nokuali moitas ke’yekchiualistli uan ika momachtiloni uan tlen kuali ikayolnemiliske in altepeme.	
Ika inon tiktlaso’kamatiliske in maseual Mexkokayotl uan omochiujke tlatlamantli kayotl uan miyak nexikoitalistli ipan tla’tlamanalistli kaxtilantiachkayotl uan ijko kuali yekitake tlane’neuilis tlanextil.	
Ipan inin ixnextiloni miyak omopolo tlen yiachto okipiyaya, uan noyoujke onitlanke miyak tlatlamantli yankuik.	Otra vez se la habían comido; fue a ver la trampa y dijo: —Lo que veo es que fueron muchos los animales que vinieron; quizá haya caído alguno.
Uan tlen ones in maseual tlane’neuilis tlanextil tlen tikixmati ini’ke tonalten.	Examinó la trampa y vio que estaba toda destrozada con los dientes. ~~~ Ya no sabía qué hacer.
MASEuALyOLNEMILIS IPAN SESEJ kA MExkOIka in Mexko sekyotl in mauiltilistli oksepa kachi omopatlak ipampa maseual altepeme tlen tonantli.	De nuevo fue a preguntar qué debía hacer, puesto que de todos modos los animales entraban a comer y se comían su sementera. —Dales veneno. —Voy a ponérselos.
Tlen uelok yoltok in Mexko tlaltikpak nantli okinexti tlen ini’nijkayo tlen mostle altepemechani’me omone’neuiliyaya kuali kinpaleuiskiani aki’ke “indios” i’kuak kin kuiliya tlane’neuilistli tlatsintla mokaujtoke kani okintlakpak kaujtoya’ke ipan tlatlanilisxiujtli.	Se los puso, y ni así. ~~~ Y otra vez fue a preguntar, y le dijeron: —¿Ya acabas con los animales? —No; nada más tiraron por el suelo la comida envenenada y no la comieron. —Puede ser que no sea eso lo que coman; ponles calabaza con digital.
San ika ino, ipan in ue’yi tiechkaujtlayekan tlane’neuilisme aki’ke nikan oyolke, uan satepa ipiluan kaxtilan tlatoanime, aki’ke okitiechkauj nauati’ke tonantli, okikuike in tlen sani’nijke tlane’neuilistli tlen ika oki sasalo’ke in tekipanolisme uan tlen yekitachiualis in maseual ka’kala’tli, tlen ika inon kinekiyaya mamoix popolokan keni maseualten.	
San ika ojko in maseualten a’mo omokaujke mamotiechkauj nexikolitaka, iknononkua, kema oualyotl in nantli maseualme noyoujke okalajke tlapaleuiya ipan itla’tlen kinekiske tiechkauj tlayekan ne’neuilistli, uan satepa okichiujke ue’ueyinten mosi’sinilistli ipan nochi tlaltikpak nantli.	Se las puso y ni así. ~~~ Otra vez fue a preguntar, y le dijeron: —Si en nada aprovecha cuanto les has puesto, lo mejor que has de hacer para que no se rían de ti ni se diviertan contigo es comprarte una escopeta y espiarlos a la hora que entren.
Miyakten maseual tlakame omochiujke ipampa tlateuiyanime aki okinyekan Miguel Hidalgo ipan naui tsontli ma’tlaktli pouali uan ma’tlaktli xiuitl uan nema oya’ta’ke tlapaleuiya ipan moteuichiualtekitl kani omoteui’ke ipampa nantliselyotl kani noyoujke otlayekan José María Morelos uan Vicente Guerrero, Inepanko oksekinten.	
Ini’ke nechikolmaseualten okinekiya’ya mosi’siniske pampa ayakmo kintlaxtlauiske in tlakatlatlankime uan okseki tlamantli tlen okin kui’kuiliyaya san ika tlen ye’ua oyetoya keni “indios”.	Luego se compró su escopeta. ~~~ A otro día estuvo al acecho por la noche y esa noche no entraron.
Ika inon okinpaleuiyaya san ni’nijki intlane’neuilil mochten Mexko chanime.	Con esto se alegró diciendo que ya no entrarían y así fue a contarlo.
Inin tlane’enuilis chikaualistli noyoujke okintilan okseki’ke maseual nechikolme aki’ke omochanti’toya ipan nantli: tlakame aki’ke in tata kaxtilanchanime uan ye’uan oyolke ipan inin nantli aki’ke okinekiyaya kipiyaske tiechkaujtekitl tlanauatili uan makin ue’ueyi itaka keni okin itaya tlen kaxtilanchani’me; tlen tlakatli’tliltike noyoujke okinekiyaya inse’sel monauatiske; tlakame tlen in tata kaxtilanchani uan in nana maseuali uan oksekinten tlakame aki’ke noyoujke okitemouiyaya makin yektlakaitaka keni kaxtilanchanime.	
Uan ojko, tlen in tlane’neuilis sanijki okianke mochten tiechkaujtlanauatilme ipan tlen inin yankuik nantli; san nema okachi kuali otlanke in mosi’sinilonime tlen okichiujtoya in tlatlanki tiechkauj kaxtilankayotl in tlampa ini’ke nechikoltlakame.	Llegó a su casa, saludó, entró y dijo: —Traigo a ustedes una nueva noticia: esta noche los animales ya no entraron a mi sementera. —¿Pues no te lo dije, que con la escopeta es mejor?
San ika, in tlane’neuilistli, maske omonekiyaya, a’mo kuali mopiyas ipan nantli tlen kipiya Miyakten Mexko maseual tlane’neuilis tlanextilme.	Y, si entran, en cuanto los veas hazles fuego y así se espantarán y ya no volverán. —Muchísimas gracias; ya me voy.
Ika peuiuas, teixnextiliya kampa tlai’kuiloli tiechkaujtlanauatilme omoi’kuilo’toya san ika kaxtilantla’toli, kampa nochten altepeme tlen yankuik nantli ye’uan maseualme uan otlayouayan oksekinten tla’tolme. inon ki’tosneki mach inpampa ipiljuan kaxtilanchani’me uan okachi nepa ipiljuan maseualme uan kaxtilantlatoanime, aki’ke opeujke tiechkauj tlanauatil tlayekana uan ye’uan otla’touayaya kaxtilantla’toli ika se tlane’neuilis tlanextil tlen uala’tok inuan kaxtilanchanime, tlen san ni’nijki tlane’neuilistli mach okitosnekiyani san ijko yoltekipanolistli uan ye’uan ijko makitakan ipampa in tlane’neuilis tlanextil uan in maseual tlanextil.	
Noyoujke okin ne’neuiliyaya san ini’ke mayetoka nochten Mexkochanime ika nochten makipixtoka kaxtilantlane’neuilis tlanextil, san ijki mokuis kaxtilantla’toli uan noyoujke mopiyas san ijki teotlane’neuilistli.	
Kachi satepa naui tsontli uan kaxtoli pouali xantil xiuitl, in nechikoltlakame mosi’sinilonime okitemoke ipan nantli kichiuaske tekipanolistli ipan se tomintlayekanyotl, keni okatka ompa ipan nantli altepetl tlen itoka “Estados Unidos” uan “Europa”.	
Kema okimomakti’ke inin tomintlayekanyotl, okitetlalili yankuikten tlamantlime tlen ika moixmati kuali yekitalistlakatl, keni inon kuali yekitalis tlaktl aki kuali kipiyas itla’tlen isel iyaxka uan ojko kuali kitemos iyektekipanolis.	
Uan ojko in maseualten a’mo okichiujke ika ini’ke yankuikten tlanauatilme tlen okin makatoya in tlane’neuilistomin tlayekanyotl, tleka ye’uan okipiyaya in tlane’neuilis tlanextil tlen a’mo san ijki keni kaxtilanchani ye’uanten otla’touaya miyikten tla’tolme uan okipixtoya se teotlane’neuilistli tlen a’mo san ijki inuan kaxtilateotlane’neuilistli tlen in yaxka nechikoltlakame aki’ke in piluan kaxtilanchanime; ye’uan okipiyaya nononkua tomintlayekanyotl ika se in yaxka sepantlalpa uan a’mo kitemouaya’ke miyak tomin keni insel.	
Ika inon, ipiluan kaxtilanchani’me aki’ke tiechkaujtlayekankame uan ipiluan kaxtilanchanime iuan se maseualten aki’ke oki nene’uiliyaya mach nechikolmaselme ye’uan (tekiyoujme) ipampa yankuik nantli, ikuitlapa uan tlen nononkua tlane’neuilis tlanextil itekiyoua in ixkikisal tekipanol.	
Noyoujke oki nene’uili’ke in tlen tiechkaujtlayekanka’me mach mamosetilika nochten Mexko chanime ipa in tlane’neuilis tlanextil, in mexko maseual altepeme oki polo’ke inyaxkatlal in tlen tlaltlankitiachkauj kaxtilankayotl mochipa okiyek itstoya.	
7Ipampa inepantla’ko in naui tsontli uan kaxtoli pouali xantil xiuitl, opeujke kinkui’kuiliya in maseual tlaltikpak ipan nochi in nantli, okachi ipan ue’ueyi altepeme tlen tlakpak nepantla kate ipan tonantli.	A la noche siguiente vio que no entraron; y a la siguiente se puso a dormir y entraron otra vez.
Uan omochikaujanalis in kaxtilantla’toli keni nantli tla’tol.	Al día siguiente, cuando amaneció, vio que de nuevo se habían ido a comer su sementera.
Ik oksejka okimopantlali’ke in kaxtilantla’toli keni nantli tla’toli: nochi in tlamachtilistli omochiuj ika inon tla’toli, in tiechkaujtlanauatilme omoi’kuilo’ke ipa inon uan tiechkaujkaltlayekankame, uan tiechkaujkaltlanautilolme, tlen amatl tlaixnextil kisa nochipa, san inon okikuitoya’ke.	
Inin tlane’neuiltla’tol okinechikouiyaya nochten in altepechanime nantli uan ijko intlalpololistli okin mo’mojtiyaya innemilis altepeme, ye’ inon inchikaui’lis tlen in nemilis uan iselyotl, noyoujke nepantla iyaxkayo tlen ixnextil.	
Noyoujke, Itech in tlamomoujtili keni yoltoske uan iyixpa nexikoltlane’neuilisitali kampa moneki iyixpa sani’nijki yoltlane’neuili, uan tlen a’mo tlakayekitali okinxelouaya uan okinteuiyaya, maseualme a’mo omokaujke.	
I’kuak ini’ke tlamelaujkame a’mo okitemakake tlen inon omochiuayaya san tlauel opeujke mosiniya uan monexikoua ika tekitlmosi’sinilistli.	Entonces se enfadó, y ya no fue a preguntarle a aquel señor sino que fue a preguntar a otro.
Ini’ke omonexti’ke in tlampa maseualme aki’ke mochanti’toke ipan Mexko tlakomole, kani a’mo oyetoya niantle mosi’siniloni ipan nochi in kaxtilantla’tlaniloni, in tlampa Mayas aki’ke koujkamo’tla chanime uan noyoujke aki’ke Chiaujpa chanime kanin kachi mochiujtoya mosi’sinilonilistl, ompa kanin xolalpa itoka “Nayarit” uan “Sonora”, uan in Uicholes, Koras uan Kakis ye’uan oyoltoya kani a’mo kinmosinilo’toya kaxtilantla’tlanili.	
8In maseual tlanesiniloni oki uiuixoke in nantli uan, ixnexitali tlen okitake miyakten tlapaleuiyanime mach kachi kuali kintlamiske aki’ke okintokayotiyaya “indios”, aki’ke okinitaya keni koujtlachanime aki’ke kuali moteuiyanime, tlen san sekyo itekipanyo.	Entró a otra casa y preguntó: —Vengo a preguntarles qué he de hacer; ya están acabando mi sementera los animales. —¿Por qué? —Ya les he puesto trampas, les he echado veneno a comer y ni por ésas. —Ahora compra cera amarilla y haz un muñeco, ponió en el lugar por donde entran y verás cómo caen.
Ini’ke tiechkaujtlayekanmikilisme tlen in yaxka in ma’tlaktli miajkan tiechkan tlane’neuilis kayo’me, tlen otlanke ipan in tiechkaujtlanauatil in tlakatl tlen itoka “Porfirio Díaz”, okichiujke san tepitsi itlane’neuilisyo, tleka ipa inin Mexko altepetl omomakauj kani oyetoya miyikten maseualme uan opanoke mochiua koyome.	
Tla tikitaske in tlakatlapouali ipan inon xiujtli a’mo yek neli kuali tikitaske, inepanko naui tsontli uan ma’tlaktli uan chikueyi xiuitl iuan naui tsontli uan kaxtoli uan se pouali uan se xiuitl keskinten Mexko maseual altepeme otimoke yeyi pouali kampa sempoali uan chiknaui makuilpoali, uan koyome otle’kok sempouali uan yeyi kampa ompoali uan kaxtoli uan naui makuli pouali, keni moita ipa ini’ke tlakatlapoualisme.	
Keni moita ipan naui nakas tsakualoni, inon a’mo ki’tosneki in maseualme okintlami’ke noso omi’mijke ika ue’ueyi tlapoualisme, san ika ye’uan omomiyakili’ke kachi isijka uan koyome ye’uan a’mo.	
Noyoujke oa’xiuak momati inin tlapatiloni omochiuj ipampa kani miyikten maseualme ayakmo omoitaya ijko uan sempoali uan kaxtoli “millones” maseualme opanoke moixmati keni koyo’me.	Y, de veras, fue a comprar lo que le dijeron, hizo el muñeco y lo puso a un lado del hoyo.
¿Uan tlen ki’tosneki inin tlapatiloni?	Aun así no cayó; y allí lo dejó.
Inon a’mo ki’tosneki in tlen tlaneltokalistli, ojko omoi’totok keni mochiua innemilis mone’nemilis ipan to nantli.	En otra ocasión, cuando llegó el conejo y quiso pasar, le dijo al muñeco: —Voy a pasar, quítate.
Ika inon a’mo Kuali moneltokas keni ipan makuilpoali “millones” keni in tlakame uan siuame maseualten omonamikti’ke uan omokoneti’ke iuan oksekinten.	No contestó el muñeco. —¿Qué no has oído que te quites?
In tlapa’tiloni ipan kaxtoli uan naui xantil xiuitl omopatlak in tlane’neuilis tlanextil uan noyoujke keni omoixmatiyaya’ke.	Si no, te daré un manazo en la cara. ~~~ No contestó. —¿No oyes tú?
In tlen “millones” mexikame aki’ke omokuepke kaxtilanuala’toke omomachti’ke keni kaxtilan tlatouani’me, uan okikaujke in maseualtla’tol, omotlakenpatla’ke uan noyoujke omochanpatlake, oki patla’ke noyoujke keni moixnextiya uan ojko okikaujke keni mochiuaske maseualchani’me uan ojko omochiujke Mexko nantlichanime.	
Ika inon in tlakamomachtiyani Guillermo Bonfil ki’totok mach inin tlachichiujke keni “maseualpatlaloni”, tech iljuiya mach tlauel miyak tlakame okin ixtopeujke, noso okinkakayaujke keni makikauakan inixnextilis uan in maseualtlane’neuilis.	
9 Ojko, tlen yankuik Mexko koyotlachi’chiuali mochi’chiujpatla’tok ipan tlane’neuilistlanextil uan in yektlane’neuilis chiualis tlen ualmochikaujtok ipan ueyi altepetl kampa mouikas “mosentiliske” noso moixpopoloske nechikolmaseualme.	
Noyoujke, in tlayekantekiuj kuali omoiskalti ipampa nantli tlayekanyotl, ipan kani omokuinanke iniskaltisyo ipan ue’ueyinten tekipanoloyan aki’ke okin nemakaya’ke tlen ichtle tekiyotl onka ipan kuojkamo altepetl, uan kafentsi ipan Chiaujpa altepetl, uan ouatl ompa Morelos uan Veracruz altepeme, aki’ke okinkui’kuili’ke maseualka’kala’ten tekitianime intlal uan okin patlake in chanime keni tekitichanime, noso kipiya tlen okin uikake kampa ue’ueyi altepeme omoiskalti’toya inuan tomintlayekanyo’me uan ojko okinkuike ipa inon tekitl.	
San ika, keni ki’toua in tlakatsintle Bonfil, in maseual tekitime a’mo omoyekpatlake, noso keni ki’tosneki in nantlitlane’neuilistli koyome aki’ke okine’neuiliyaya ipa ino’ke xantilxiujme uan noyoujke kate aki’ke ojko ki ne’neuilliya ipan to nantli.	
Sekinte koyome san ijki omoyolchanti’toya ompa ino’ke nechikolka’kala’ten, okimilo’ta’ke tlaoli uan oksekinten xiujtlamilolme uan ojko sanijki oki paleui’ta’ke tlen in maseual ixtlane’neulis, moyolchikaua iuan in tiotiechkaujyo uan ipa in tlaltlapaleuil.	
Uan ojko moitstok keni in Mexko moue’kakaujtoke in koyo’me uan maseualme, uan a’mo moyekita, ika ino yaue uan uitse nepa uan nika keni kachi kuali mopaleuiske iyixpa tiechkaujtlayekan ne’neuilistli.	
Inon kachi kauali mochiuas tla a’mo onka tlamiyan nexikolistli, uan noyoujke intla a’mo onka in ueyi tlamiyan tlane’neuilis tlanextil, noso tlane’neuilistle ipan inselixnextikayotl uan nechikolixnextilkayo’me uan noyoujke ijko tlen tlayekanyotl patlali ipan tiechkaujaltepetlayekanali.	
SEMPOALI x ANTIL x IuITLIpan tlateuilonilistli keni omochiuj naui tsontli uan kaxtoli pouali uan ma’tlaktli xiuitl oualmochiujke in tekiyome ipampa inseltiechkauj tlayekane’neuilistli tlen opanok ipan in kaxtoli uan naui xantil xiujme, kani koyome uan maseualme okin kui’kuili’ke in ka’kala’tlaluan, uan okin nauati’ke ika se tlane’neuilis xantil tlen a’mo kuale okin yek itaya miyakten nantli altepechani’me ika tlen omotemouaya san sekni in nantli tlane’neuilis tlanextil kani san keski yetoke motekipano’toke.	
Nononkua maseual nechikoltekitianime aki’ke mochanti’toke ipan ueue’ka nantli xolalme oualmosi’sini’ke ika tepostli keni oki tla’tlaniyaya makin kuepilikan in ka’kala’tlal, tlen okin paleuiyaya ika motekipanoua.	
Ojko ipan tlen Mexko amochtle achto tlanauatil tlayekanyotl keni naui tsontli kaxtoli pouali uan kaxtoli uan ome xiuitl ipa in tiachkatlaxeloltlanauatil, okiseli’ke uan okiyekitake ixnextilkayo uan maseual iyaxkayo in nantli tlali, ipan nechikol tlaltekipanolistli.	
Uan ojko okin kuepili’ke san tlama tlen in tlatlaniltekipanoltlali uan noyoujke okin ilui’ke mach kuale kinkuepiliske, kinmakaske, i’kuak opanotoya in naui tsontli uan kaxtilpouali xantil xiuitl.	El conejito le dio una bofetada y su mano se quedó pegada en el muñeco. —Suéltame, y si no, ahora verás lo que te pasa: con mi otra mano te rasguñaré.
San ika inon nauatilistle a’mo sanema omochiuj uan opanoke miyikten ma’tlakten xiujten, keskinten okinmakake uan miyikten a’mo okin nAui nAkAstsAkuAlonime 3. o m e nAui nAkAstsAkuAloni. mexko : mexko mAseuAlchAnime tlen o m o i x m At k e ipAn nAui tsontli uAn mAtlAkpoAli iuAn chikueyi xiuitl , nAui tsontli uAn mAtlAktle nAuipo Ali uAn mAk u i l i xiuitl , nAui tsontli uAn kAxtoli uAn se p o u Al i uAn se xiuitl uAn mAk u i l i tsontli xiuitlma’kake uan ojko yolik iuan kauali omotlapo se tlanauatiltlayekantli tlen ika omotemo kuali mochiuas uan kuali moitas in tlen kualanka tlalme, uan ojko otlanke in mosinilonime ipan nuai tsontli uan kaxtoli pouali xantil xiujtli.	
Ini’ke tiechkaujtlanauatilme okinpaleui’ke maseual altepeme uan noyoujke miyakte koyoaltepeme aki’ke omochiujtoya maseualme ipan keski xiujpanolten.	No contestó el muñeco. —¿No oyes que te voy a rasguñar?
10Maske ika inon tlapatili ipan tiechkaujtlayekan tlane’neuilistlalpa, in tlayekan netiuilolistli san ojko okichiujta in selmaseual tlene’neuilisme mamonauati’takan.	Lo rasguñó y se quedó pegado otra vez; ya estaba pegado con sus dos manos; entonces le dijo el conejito al muñeco: —Ya te he dicho dos veces que me sueltes, ¿no quieres?
Ipan intlachialis in tlen yankuiktiechkaujtlanauatilme, aki’ke okine’neuiliyaya okinekiyaya’ke kinyankuiktlane’neuiltiske in maseualme keni achto kaxtilanchanikankayo’me, in Mexko maseual tlane’neuilis miyakaujyo san ijki omochiujta nantli tekiyotl uan se tlaixtopeuiloni ipan moiskaltiloni uan ipan Mexko altepe nisetiloni.	
Ika inon in “tlanisetiloni” tlen ki’tosneki mach mamoixpopoliuikan maseualme san ijki okitemouiyaya mamoixmati in tiachkaujtlayekantlane’neuilistli, tlakatlamachtilistli uan tiechkaujtlateuilonilistli.	
Inon ueyi tlateuilonilistli okiyekitak, ika itechkaujtlayekne’neuilis in a’mochten tlen te no’notsa in xantiltlane’neuilischiualisme, iyixkopintlachi’chiujkayotl Diego Rivera uan noyoujke tlen moixtlali’toke uan kinexti’toke tlamantlime tlen omochiujtoya ipan achto xantil tlane’neuilischiualisme, tlen okitemakayaya in nantli in pampa maseualme uan ojko okinyolchikauj nochten Mexkocha’nime ika se ueyi xantiltlane’neuilischiualisme, inon tlen omopeualti’toya iuan tiechkaujtlanauatiyani Porfirio Díaz.	
In yankuik tlayekanyotl, okichi’chiuj tlen a’mo kuali ome tlane’neuilisyotl tlen yetok ipan Mexko tlane’neuilis tlanextil itlampa “indio mijki” akin kuale moyekita uan moyekmati, uan “indio yoltok”, aki nexikolitali, aki moita ika yolkokolistli uan kuali momakas se iknotlakalistli uan se tlapaleuilistli.	
Ipan sempoali uan ma’tlaktli xiujpa uan ome pouali xiujpa tlen iyaxkayo sempoali xantil xiuitl tlayekan tlateuiloni okichi’chiuj maseual tiechkauj tlayekan tlane’neuilistli tlen okitemouaya kikuis yankuik tlaixmatilistli, in tlakatlachiualistli uan tlamachtilistli tlen ika mosetiliske maseualme ipan nantli.	
